grid_cell,pa_frac_all,pa_frac_pre2000,pa_frac_post2000,pa_frac_national,pa_frac_wetland,pa_frac_forest,pa_frac,n_pa_overlapping,pa_year_min,pa_year_first_major,newly_protected_2000_2024
1243,0.0015310700831162641,0.0015310700831162641,0,0.0015310700831162641,0,0.0015310700831162641,0.0015310700831162641,1,1983,NA,FALSE
1244,0,0,0,0,0,0,0,0,NA,NA,FALSE
1246,0,0,0,0,0,0,0,0,NA,NA,FALSE
1247,0,0,0,0,0,0,0,0,NA,NA,FALSE
1248,0,0,0,0,0,0,0,0,NA,NA,FALSE
1249,0,0,0,0,0,0,0,0,NA,NA,FALSE
1268,0,0,0,0,0,0,0,0,NA,NA,FALSE
1269,0,0,0,0,0,0,0,0,NA,NA,FALSE
1270,0,0,0,0,0,0,0,0,NA,NA,FALSE
1271,0,0,0,0,0,0,0,0,NA,NA,FALSE
1272,0,0,0,0,0,0,0,0,NA,NA,FALSE
1273,0.0065161904320473404,0.0065161904320473404,0,0.0065161904320473404,0,0,0.0065161904320473404,1,1987,NA,FALSE
1274,0.1488547732125808,0.1488547732125808,0,0.1488547732125808,0,0,0.1488547732125808,1,1987,1987,FALSE
1275,0,0,0,0,0,0,0,0,NA,NA,FALSE
1276,0.0015078704412893875,0.0015078704412893875,0,0,0.0015078704412893875,0,0.0015078704412893875,1,1997,NA,FALSE
1277,0,0,0,0,0,0,0,0,NA,NA,FALSE
1279,0,0,0,0,0,0,0,0,NA,NA,FALSE
1280,0,0,0,0,0,0,0,0,NA,NA,FALSE
1281,5.584110802840868e-4,5.584110802840868e-4,0,0,0,0,5.584110802840868e-4,1,1981,NA,FALSE
1282,0.0020195963206332797,0,0.0020195963206332797,0.0020195963206332797,0,0,0.0020195963206332797,1,2000,NA,FALSE
1283,0.04784712017675562,0.04784712017675562,0,0.04784712017675562,0,0,0.04784712017675562,1,1983,1983,FALSE
1284,0,0,0,0,0,0,0,0,NA,NA,FALSE
1286,3.608647823774512e-4,3.608647823774512e-4,0,0,0,3.608647823774512e-4,3.608647823774512e-4,1,1991,NA,FALSE
1287,0,0,0,0,0,0,0,0,NA,NA,FALSE
1288,0,0,0,0,0,0,0,0,NA,NA,FALSE
1289,0.22023292124545596,0,0.22023292124545596,0.024656324360455444,0,0.1322489302135308,0.22023292124545596,6,2001,2001,TRUE
1305,0,0,0,0,0,0,0,0,NA,NA,FALSE
1306,0,0,0,0,0,0,0,0,NA,NA,FALSE
1307,0,0,0,0,0,0,0,0,NA,NA,FALSE
1308,0,0,0,0,0,0,0,0,NA,NA,FALSE
1309,0.18530548468919933,0.18530548468919933,0,0.18530548468919933,0,0,0.18530548468919933,1,1980,1980,FALSE
1312,0,0,0,0,0,0,0,0,NA,NA,FALSE
1313,0,0,0,0,0,0,0,0,NA,NA,FALSE
1314,0,0,0,0,0,0,0,0,NA,NA,FALSE
1315,0,0,0,0,0,0,0,0,NA,NA,FALSE
1316,0,0,0,0,0,0,0,0,NA,NA,FALSE
1319,0,0,0,0,0,0,0,0,NA,NA,FALSE
1320,0,0,0,0,0,0,0,0,NA,NA,FALSE
1321,0,0,0,0,0,0,0,0,NA,NA,FALSE
1322,0,0,0,0,0,0,0,0,NA,NA,FALSE
1328,0,0,0,0,0,0,0,0,NA,NA,FALSE
1339,5.909525761086226e-5,5.909525761086226e-5,0,0,0,0,5.909525761086226e-5,1,1999,NA,FALSE
1340,0.0018449347547465358,0.0018449347547465358,0,0,0,0,0.0018449347547465358,1,1997,NA,FALSE
1341,0,0,0,0,0,0,0,0,NA,NA,FALSE
1344,0,0,0,0,0,0,0,0,NA,NA,FALSE
1345,0,0,0,0,0,0,0,0,NA,NA,FALSE
1346,0.03738469607037253,0,0.03738469607037253,0.03738469607037253,0,0.03738469607037253,0.03738469607037253,1,2001,2001,TRUE
1348,4.134807964365484e-4,4.134807964365484e-4,0,0,0,0,4.134807964365484e-4,1,1997,NA,FALSE
1349,0.0023166288404478865,0.0023166288404478865,0,0,0,0,0.0023166288404478865,1,1997,NA,FALSE
1351,0.004172134228650683,0.004172134228650683,0,0.004172134228650683,0,0.004172134228650683,0.004172134228650683,1,1988,NA,FALSE
1352,0.046445527168212486,0.046445527168212486,0.0015867959470413503,0.03352814842262758,0.012917378745584907,0.03352814842262758,0.046445527168212486,5,1986,1986,FALSE
1353,0,0,0,0,0,0,0,0,NA,NA,FALSE
