mean,sd,q025,median,q975,metric,period_pair,grid_cell
0.8526320003015665,0.06725607072008313,0.7266714393685004,0.8500065115949991,0.9840167604848764,prop_turnover,P1_P2,2183
0.8607450207273518,0.06525962390772069,0.7367277616482553,0.8594073576835217,0.9857524069794201,prop_turnover,P1_P2,2184
0.8765140778774371,0.06101302998977377,0.7587388048938561,0.876731854196394,0.9875551416323693,prop_turnover,P1_P2,2186
0.8836732270823403,0.059006443763675975,0.767194948319754,0.883352292236815,0.9910044720965614,prop_turnover,P1_P2,2187
0.8898699278391413,0.05724299961719175,0.772704498689294,0.8887106322849812,0.99305619939002,prop_turnover,P1_P2,2188
0.894630172553079,0.055739251899543436,0.7803308539817333,0.8932594025220009,0.9940613583297497,prop_turnover,P1_P2,2189
0.8983070321654132,0.05374403465360156,0.7894061790041964,0.8985598545848859,0.9947573801479535,prop_turnover,P1_P2,2191
0.8932365415147268,0.05337575381153557,0.7880557945236596,0.892690389072404,0.9922443276943769,prop_turnover,P1_P2,2193
0.8875579557862223,0.0535783559931398,0.7820436316294773,0.8869719536821983,0.9855896061364389,prop_turnover,P1_P2,2194
0.8799084922998488,0.054059363172287864,0.7760182163313833,0.879420429222119,0.9844221533487169,prop_turnover,P1_P2,2195
0.8701478147771522,0.05473571701369107,0.7643087456736707,0.8691598630355666,0.9776938380510272,prop_turnover,P1_P2,2196
0.8581497057947023,0.0550684960012645,0.7521828730313018,0.8562521479454605,0.9695616329047546,prop_turnover,P1_P2,2197
0.844572084685793,0.05537828332044353,0.7390025740288285,0.843196400621304,0.9570305545317397,prop_turnover,P1_P2,2198
0.8301514385771802,0.055694726283174484,0.723966785055427,0.8285968941908843,0.9465160927497063,prop_turnover,P1_P2,2199
0.815540858904382,0.05615881670565602,0.7075714393197992,0.8147773680135626,0.9279982321695623,prop_turnover,P1_P2,2200
0.8010482677425245,0.05669078142944303,0.6924950939367331,0.8003545694107119,0.9135117280820882,prop_turnover,P1_P2,2201
0.7867657824263976,0.05722484443277974,0.6791863848574731,0.7837535934894286,0.9041291650514102,prop_turnover,P1_P2,2202
0.7726973013392711,0.057725638033510183,0.6622777862304099,0.7706805963116471,0.8886864604794613,prop_turnover,P1_P2,2203
0.7588486188801232,0.058186806487899395,0.6442303280768293,0.7584647065721265,0.8748444513841583,prop_turnover,P1_P2,2204
0.745249387089095,0.05861990104740705,0.6256620465378712,0.7447865922807978,0.864087848781119,prop_turnover,P1_P2,2205
0.7319406948741025,0.05904571629242924,0.6066335511121455,0.7324118956489778,0.8521168884836118,prop_turnover,P1_P2,2206
0.7189604588611652,0.059488525444954386,0.5920354729131592,0.718753941354642,0.8354148147594862,prop_turnover,P1_P2,2207
0.7063368829476792,0.05996641612895103,0.5814076986429539,0.7065227634498681,0.8214333940245656,prop_turnover,P1_P2,2208
0.6940914780760153,0.06047696541420334,0.5676525032010709,0.6941940471244243,0.8105311808566221,prop_turnover,P1_P2,2209
0.6822488409451466,0.06099192009445128,0.5565888332705202,0.6821237387656605,0.8023830848517992,prop_turnover,P1_P2,2210
0.6708435148065761,0.061472847280089823,0.5460477820071151,0.6708603544733198,0.787031892277119,prop_turnover,P1_P2,2211
0.6599165952622839,0.06189553696090957,0.5369290565976373,0.660030016966527,0.7804704832836098,prop_turnover,P1_P2,2212
0.6493406450670213,0.062232744868323496,0.5277528088480491,0.6504491126345648,0.7704246678975967,prop_turnover,P1_P2,2213
0.6402064856158619,0.06233189162139301,0.5168178703068954,0.6418425245520396,0.7591329693021202,prop_turnover,P1_P2,2214
0.7497025921109309,0.0877178690020152,0.5849602300030928,0.7487711913323372,0.9297002385583839,prop_turnover,P1_P2,2240
0.7553003628659333,0.08667812195615374,0.5984374174005492,0.7536596639313415,0.9317984428876258,prop_turnover,P1_P2,2241
0.8152783345363113,0.07548457222170711,0.6810806336997093,0.8102741730352225,0.9662832141843928,prop_turnover,P1_P2,2250
0.8467494376061818,0.06880851990275176,0.7186143513467771,0.8445482029064018,0.9863640199933508,prop_turnover,P1_P2,2254
0.854833616570702,0.06676478103969687,0.7290501998041684,0.8532457353386644,0.9856382729117736,prop_turnover,P1_P2,2255
0.8707817874928165,0.06261615931740949,0.7490583638016981,0.8721656970436654,0.9898483211289238,prop_turnover,P1_P2,2257
0.8781625043146205,0.060426311535228726,0.7524665536973575,0.8773557940504125,0.9897008952793935,prop_turnover,P1_P2,2258
0.8848144437754792,0.05840358000152841,0.7646897485264008,0.8830407182621509,0.9910508510687022,prop_turnover,P1_P2,2259
0.8904153643958108,0.05677736950321666,0.7768560577489791,0.8882315736958108,0.9924217456681905,prop_turnover,P1_P2,2260
0.8944060070271682,0.05536445230060963,0.7816204183626053,0.8933980131966567,0.9951963207360152,prop_turnover,P1_P2,2261
0.8964529522174699,0.05431597979386909,0.7851345018834052,0.8960389989543087,0.9950006951269236,prop_turnover,P1_P2,2262
0.89631829061782,0.05367573006221548,0.7868351669184317,0.8971104469295517,0.99507316621039,prop_turnover,P1_P2,2263
0.8938902656521778,0.053309242513569416,0.7867113692799758,0.8945522730512808,0.9908045877728422,prop_turnover,P1_P2,2264
0.8893671919365224,0.05333771163141382,0.7855690985223169,0.8896981911560894,0.986558862132811,prop_turnover,P1_P2,2265
0.8828310876900027,0.05369681582214939,0.7784160221312301,0.882367041331342,0.9843526862568727,prop_turnover,P1_P2,2266
