species,threshold,d_AOO,infilling,expansion
Apus pacificus,0.5,46.058054192559936,32.161737133669256,13.896317058890684
Emberiza godlewskii,0.5,-2.814710390631881,-0.04373090971413879,-2.770979480917742
Tringa erythropus,0.5,281.4543649110857,50.17431489365137,231.28005001743435
Enicurus leschenaulti,0.5,98.65647152127679,28.78909958448381,69.86737193679296
Phylloscopus borealis,0.5,-49.39608297524747,-28.20680796335958,-21.189275011887883
Cuculus poliocephalus,0.5,13.049805459134706,9.950624598035967,3.0991808610987395
Phylloscopus coronatus,0.5,-23.44179926850027,-9.738943459053388,-13.70285580944688
Phylloscopus trochiloides,0.5,29.819757459411065,12.725534109432687,17.094223349978378
Pericrocotus solaris,0.5,123.38081121896131,27.73082910546515,95.64998211349616
Aethopyga gouldiae,0.5,62.605458488337646,19.622854525944035,42.98260396239361
Tringa stagnatilis,0.5,163.83069534775197,38.82300445923344,125.00769088851854
Muscicapa dauurica,0.5,325.96131080754304,76.98848077968168,248.97283002786136
Buteo japonicus,0.5,202.93257049123096,105.67464449188246,97.2579259993485
Gelochelidon nilotica,0.5,241.43767284208175,35.59476993612157,205.8429029059602
Eumyias thalassinus,0.5,103.55608695816973,29.849219846543132,73.7068671116266
Sitta villosa,0.5,-67.15532581618075,-18.68133680877737,-48.47398900740338
Alauda gulgula,0.5,-23.399604071687808,-14.73155265848242,-8.668051413205388
Calidris ruficollis,0.5,155.37060256783047,12.07797101921709,143.2926315486134
Pernis ptilorhynchus,0.5,464.1625125207975,84.08491847219524,380.0775940486023
Limosa limosa,0.5,285.16640053638235,44.275769125714646,240.89063141066768
Phylloscopus pulcher,0.5,14.291459133656767,7.2138862229199745,7.0775729107367935
Ardea purpurea,0.5,295.20879394372105,39.47078878735766,255.73800515636339
Phylloscopus armandii,0.5,19.302835648104217,10.111841301948575,9.190994346155644
Butastur indicus,0.5,10.604803874657032,7.574886985841219,3.0299168888158134
Platalea leucorodia,0.5,292.08539818282156,44.25906085429907,247.82633732852247
Emberiza tristrami,0.5,159.53790665384912,53.756469891147205,105.7814367627019
Spatula querquedula,0.5,155.911213034552,60.419371363354315,95.49184167119768
Alcippe hueti,0.5,71.79739150783189,15.470624526305226,56.32676698152666
Garrulax perspicillatus,0.5,105.85717648796243,9.054019146308338,96.8031573416541
Cinclus pallasii,0.5,-0.7096069263379834,0.36960655682428234,-1.0792134831622657
Calidris ferruginea,0.5,199.9956006748176,22.016192666737897,177.97940800807973
Tadorna tadorna,0.5,243.12646032661337,51.511029124749825,191.61543120186354
Chlidonias leucopterus,0.5,184.84904231214483,33.72690032129365,151.1221419908512
Anthus roseatus,0.5,107.83739392306698,40.00966407561956,67.82772984744742
Phoenicurus frontalis,0.5,74.05574336189744,26.49798256000031,47.55776080189713
Mareca strepera,0.5,270.37170691326975,113.22935317810052,157.14235373516922
Periparus rubidiventris,0.5,-69.07988070370367,-23.925207851047777,-45.154672852655885
Eremophila alpestris,0.5,31.71515198157434,13.631436993548323,18.08371498802602
Aythya nyroca,0.5,355.50282541170037,103.03806905382864,252.46475635787172
Calidris acuminata,0.5,141.89131653878573,30.96712301282346,110.92419352596228
Ceryle rudis,0.5,156.16063696593463,25.812277095416036,130.3483598705186
Passer montanus,0.3,135.74015436662404,132.25395136060052,3.486203006023512
Pycnonotus sinensis,0.3,121.06538643472115,68.72343743016833,52.34194900455281
Hirundo rustica,0.3,139.26885858774511,116.81852929009904,22.45032929764609
Spilopelia chinensis,0.3,240.43230242719173,117.36769769530154,123.0646047318902
Pica serica,0.3,359.9472386992718,149.82624805098123,210.12099064829056
Motacilla alba,0.3,41.36863795181257,41.36863795181257,0
Turdus mandarinus,0.3,128.9281211650282,70.23090631860597,58.697214846422206
Egretta garzetta,0.3,210.69355240913873,110.51950675867873,100.17404565045999
Parus minor,0.3,82.22744939608735,58.14552886541546,24.081920530671894
Cyanopica cyanus,0.3,112.2904794321119,66.4249882204347,45.865491211677195
Streptopelia orientalis,0.3,141.0385889292492,130.7393893187314,10.29919961051776
Tachybaptus ruficollis,0.3,293.7186097674739,192.17102684285354,101.54758292462037
Nycticorax nycticorax,0.3,269.83501976407695,162.8138467354914,107.02117302858555
Gallinula chloropus,0.3,324.65922048201895,196.28072851199647,128.37849197002248
Sinosuthora webbiana,0.3,134.52290859027295,79.65044588498071,54.87246270529222
Chloris sinica,0.3,46.735774718116566,33.35946198977918,13.376312728337385
Cecropis daurica,0.3,-11.767779620123818,-7.754515402173899,-4.013264217949918
Acridotheres cristatellus,0.3,69.29200305380536,41.79681041307967,27.49519264072569
Ardeola bacchus,0.3,44.48661199288198,31.336910502583404,13.149701490298584
Copsychus saularis,0.3,53.349224924059065,26.05452773402897,27.294697190030096
Ardea cinerea,0.3,293.9983114779684,212.68992655575778,81.3083849222106
Anas platyrhynchos,0.3,235.78715058679106,177.5319109008478,58.25523968594325
Lanius schach,0.3,129.79741185597277,61.08590391598415,68.71150793998862
Spodiopsar cineraceus,0.3,309.04503107349365,126.68772671138088,182.35730436211276
Alcedo atthis,0.3,88.74351547370341,63.123286414329215,25.6202290593742
Anas zonorhyncha,0.3,209.767275800653,117.84060025520279,91.92667554545022
Phasianus colchicus,0.3,286.31011434437886,147.2595260061391,139.05058833823978
Zosterops simplex,0.3,52.0315229359953,31.561462733728707,20.47006020226659
Cuculus canorus,0.3,184.94089168009938,109.60630115779742,75.33459052230198
Corvus macrorhynchos,0.3,182.2345388746554,159.30996617784663,22.92457269680878
Upupa epops,0.3,198.27614518812044,153.82296305098032,44.45318213714012
Dendrocopos major,0.3,89.69546484959251,66.06194628509822,23.633518564494285
Spodiopsar sericeus,0.3,192.86227166789845,79.98241809292894,112.87985357496952
