period,grid_cell,CTI
P1,1131,7.918280791329995
P1,1133,8.002186968422095
P1,1134,8.039236403892966
P1,1137,8.110630762009277
P1,1138,8.064603461650774
P1,1139,8.09206132759435
P1,1140,8.115253317373815
P1,1142,8.272183861904677
P1,1143,8.369105641032647
P1,1144,8.315642981247457
P1,1145,8.514532860160594
P1,1161,8.596062632625673
P1,1162,8.421563108566616
P1,1163,8.450221959828596
P1,1164,8.391079400546529
P1,1165,8.342226695692585
P1,1166,8.241508714732685
P1,1167,8.240390774523549
P1,1168,8.279854835673293
P1,1169,8.254721540293076
P1,1170,8.253119546861885
P1,1171,8.240828404362668
P1,1172,8.247562307119196
P1,1173,8.232229806900689
P1,1175,8.194890776343954
P1,1196,8.494943127087517
P1,1197,8.669755094772482
P1,1198,8.80451395673578
P1,1199,8.769061154755866
P1,1200,8.87660628638182
P1,1201,8.177890514014393
P1,1202,8.100330420219567
P1,1203,8.195254583359546
P1,1204,8.065379784912501
P1,1205,8.080140760384447
P1,1206,8.118416140207826
P1,1207,8.112488841540346
P1,1208,8.133589635679833
P1,1209,8.077987953264069
P1,1210,8.065920058862794
P1,1211,8.021703974123652
P1,1212,8.119734139222427
P1,1213,7.8760207560821565
P1,1214,7.890203914863939
P1,1215,7.922325034198413
P1,1216,7.947322020940517
P1,1234,8.704027933417084
P1,1235,8.737792047543426
P1,1236,8.701582264116476
P1,1237,8.70809216771347
P1,1238,8.787742165579363
P1,1239,8.92542924255709
P1,1240,8.948415581393819
P1,1241,9.108188942649521
P1,1242,9.019513851139646
P1,1243,9.375655432162372
P1,1244,9.459848163374895
P1,1246,9.5118693589085
P1,1247,9.196991679585565
P1,1248,9.301137109803136
P1,1249,9.350344466449206
P1,1268,7.978203196812335
P1,1269,8.078392183528972
P1,1270,8.055784371547787
P1,1271,8.026604819390098
P1,1272,7.94771359620454
P1,1273,7.898102077477026
P1,1274,7.910302569387743
P1,1275,7.931302053087965
P1,1276,7.962710782030922
P1,1277,7.98633727424527
P1,1279,8.060849056487452
P1,1280,8.0763826349678
P1,1281,8.128029567805813
P1,1282,8.171873641518282
P1,1283,8.216652319442067
P1,1284,8.265207093092755
P1,1286,8.265228614756055
P1,1287,8.375434968895389
P1,1288,8.46462695813481
P1,1289,8.46542353005303
P1,1305,8.713547320745443
P1,1306,8.792051183755397
P1,1307,8.950954015080459
P1,1308,9.321922983002882
P1,1309,8.829979256470734
P1,1312,8.207860412458519
P1,1313,8.272890402817689
P1,1314,8.283289872075844
P1,1315,8.286173602735895
P1,1316,8.307463772349834
P1,1319,8.329856586403269
P1,1320,8.297888010787615
P1,1321,8.27679365444182
P1,1322,8.237462193290918
P1,1328,8.299278561499035
P1,1339,8.138694942632926
P1,1340,8.233611232131167
P1,1341,8.20770481319895
P1,1344,8.237513670898297
P1,1345,8.20582343478449
P1,1346,8.302924160454037
P1,1348,8.148248780423122
P1,1349,8.172261771417576
P1,1351,8.22332833522892
P1,1352,8.242210812031736
P1,1353,8.361737468314493
P1,1354,8.420297244752568
P1,1355,8.510583988557684
P1,1357,8.289432010115942
P1,1358,8.686051063148806
P1,1359,9.030940105199168
P1,1360,8.040459624428067
P1,1361,8.116175014217543
P1,1377,8.627458654556703
P1,1379,8.777187080756525
P1,1380,8.6754517792274
P1,1381,8.798328304727637
P1,1382,8.607833240317238
P1,1383,9.378249052100404
P1,1384,8.845072776037762
P1,1385,8.51781258044532
P1,1386,8.58718450835905
P1,1393,8.445619425078563
P1,1400,8.52847050595887
P1,1410,8.05395434732262
P1,1412,8.01175516814483
P1,1413,7.9996548033389105
P1,1414,8.048753696709326
P1,1415,8.10562710172577
P1,1416,8.236881117486604
P1,1417,8.271545690166807
P1,1418,8.536058324245289
P1,1419,8.371516559344688
P1,1420,8.371920298576162
P1,1421,8.231575560194024
P1,1422,8.270763068005547
P1,1423,8.284515831914193
P1,1424,8.24455903412294
P1,1425,8.338066142583841
P1,1426,8.445838972193112
P1,1427,8.399322800506386
P1,1428,8.486767803351633
P1,1429,8.196837330311416
P1,1430,8.170086833618187
P1,1448,9.311075454311409
P1,1449,8.64297626654184
P1,1450,8.569590193568509
P1,1452,8.479534354618758
P1,1453,8.387445348089996
P1,1454,8.475585802886098
P1,1455,8.365664684681864
P1,1456,8.518398949369208
P1,1462,8.848010251869457
P1,1465,8.618651612104369
P1,1466,8.50143418919088
P1,1468,8.596501921392136
P1,1471,8.501051563591682
P1,1476,8.56198682564852
P1,1479,8.417622234236358
P1,1480,8.318648564674675
P1,1481,8.328050363951306
P1,1482,8.336122239201968
P1,1483,8.212060803227134
P1,1484,8.216718809830581
P1,1485,8.200326942713298
P1,1486,8.190297785039787
P1,1487,8.288067235066817
P1,1488,8.4117051363892
P1,1489,8.503191464983802
P1,1490,8.389981600676867
P1,1491,8.75710275798624
P1,1492,8.495327551662113
P1,1493,8.241647815518931
P1,1494,8.472570839650663
P1,1495,8.753778326501138
P1,1496,8.761912157347146
P1,1497,9.135390575191357
P1,1498,8.556362028652236
P1,1499,8.531570720475827
P1,1500,8.585145043868398
P1,1502,8.807976399220236
P1,1518,9.127815915557608
P1,1520,9.162412124705916
P1,1521,9.106221397934927
P1,1522,9.297998310259317
P1,1523,9.373593832898951
P1,1528,9.863025170949811
P1,1529,9.83476759498791
P1,1533,8.672991504544578
P1,1536,8.746775208925037
P1,1537,8.544114214786678
P1,1538,8.479056229399111
P1,1539,8.552415489794889
P1,1540,8.627353863345538
P1,1542,8.843206684318499
P1,1550,8.443823368696483
P1,1551,8.404245635277862
P1,1552,8.443420726479967
P1,1553,8.475267212690543
P1,1554,8.435480152736558
P1,1555,8.6810902446354
P1,1556,8.805178464292164
P1,1557,8.789738953455702
P1,1558,8.808459365435263
P1,1559,8.800316613865425
P1,1560,8.770392023414143
P1,1561,8.772340967627091
P1,1562,8.778205129546919
P1,1563,8.787784240396372
P1,1564,8.800821340062525
P1,1565,8.816987016885832
P1,1566,8.60720910546347
P1,1567,8.61835127563246
P1,1568,8.741268934064536
P1,1569,8.739099039742182
P1,1570,8.801705269894844
P1,1571,8.870798152646527
P1,1586,9.676274435577323
P1,1587,9.534826248066947
P1,1588,9.578905407197974
P1,1589,9.697971985581804
P1,1590,9.637530083095642
P1,1591,9.372194118413827
P1,1592,8.435470261752853
P1,1593,8.56857140970719
P1,1594,10.022292905134643
P1,1602,9.206185604817424
P1,1608,8.465651877593379
P1,1609,8.868155141751366
P1,1610,9.181960498051025
P1,1612,9.207492289746385
P1,1613,8.920803080580107
P1,1614,8.506740825843055
P1,1616,8.483444041161263
P1,1617,8.514014227088584
P1,1618,8.503340851845744
P1,1619,8.582365393322341
P1,1620,8.560039361754182
P1,1621,8.697563644424795
P1,1622,8.728685629873318
P1,1623,8.699332873814754
P1,1624,8.879350286440966
P1,1625,8.869878932741484
P1,1626,8.747112320027384
P1,1627,8.21572062379387
P1,1629,8.830129165996793
P1,1630,8.822237167436823
P1,1631,8.818907792522452
P1,1632,8.669128100167056
P1,1633,8.862949277638688
P1,1634,8.94221566604845
P1,1635,8.930348632931299
P1,1636,8.918895391114342
P1,1637,8.971281178364427
P1,1639,8.627140378982928
P1,1640,8.80068582530705
P1,1641,8.946910698801007
P1,1642,8.987913095528263
P1,1658,8.798686579800528
P1,1659,10.228552243723996
P1,1660,9.802598642746668
P1,1661,9.81470926523368
P1,1662,9.81774557488077
P1,1666,9.555044161193429
P1,1669,9.565181361494997
P1,1672,8.936514762849173
P1,1674,9.533401964860534
P1,1675,9.216697954064927
P1,1676,9.170836136911998
P1,1678,9.44310469360343
P1,1679,9.343109965470287
P1,1680,9.4998915857546
P1,1681,9.719408274121877
