species,year_slope,year_l95,year_u95,year_sig,order_lat,family_lat,genus_lat,body_mass_g,body_length_mm,clutch_size,egg_volume_mm3,longevity_y,maturity_y,avonet_hwi,elev_range_m,avonet_range_size,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,niche_rel,diet_specialization,habitat_breadth_data,habitat_openness_avonet,migration_class,migration_score,status
Charadrius alexandrinus,0.3682016566632827,0.0519718712193138,0.6902512171381457,TRUE,CHARADRIIFORMES,Charadriidae,Charadrius,40.5,165,4,11866.41768609,19,0.8774811772758385,55,3000,13539453.43,Coastal,3,2,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.2875659301245437,3,2,2,Winner
Charadrius dubius,0.42797519891187474,0.08011410606585273,0.7676021124294418,TRUE,CHARADRIIFORMES,Charadriidae,Charadrius,34,168,3.5,9840.96,13,1.998631074606434,51,800,33641119.87,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,0.14702154626108999,0.85297845373891,1.327933845224471,3,3,3,Winner
Chlidonias hybrida,0.6627896548723861,0.23963267676613215,1.0229297640496755,TRUE,CHARADRIIFORMES,Laridae,Chlidonias,90,253,3,21332.025,16,2.0414645491781003,63.6,2000,10089513.85,Wetland,3,3,Carnivore,Aquatic predator,Aerial,0.14702154626108999,0.85297845373891,1.2952750735480019,3,3,3,Winner
Chloris sinica,0.4199930067448844,0.07399289032051178,0.7476748547510843,TRUE,PASSERIFORMES,Fringillidae,Chloris,18.5,130.5,4.5,2037.3225,12.180230952380953,1.0028308073400451,33.5,2400,6303643.12,Shrubland,2,1,Herbivore,Granivore,Generalist,0.07858048162230671,0.9214195183776933,1.3191304160239754,2,1,1,Winner
Chroicocephalus ridibundus,0.4919811115222541,0.10294443526482865,0.8348412464841682,TRUE,CHARADRIIFORMES,Laridae,Chroicocephalus,292,392.5,3,19149.6942,32.9,1.998631074606434,45.542265115440074,2102.6403864468866,8950107.23005726,NA,2,NA,NA,NA,NA,NA,0.8238276299112801,1.2899694037314808,2,NA,2,Winner
Cinclus pallasii,0.21400821229316083,-0.10576893818310629,0.6180122342654405,FALSE,PASSERIFORMES,Cinclidae,Cinclus,88.5,211.5,4.5,5916,12.78042936507937,1.1053293514987548,27.9,4550,9425465.17,Riverine,3,1,Carnivore,Aquatic predator,Generalist,0.14702154626108999,0.85297845373891,1.3881676523066222,3,1,1,Stable
Circus cyaneus,0.5343788947735683,0.14102752545032243,0.91327909483073,TRUE,ACCIPITRIFORMES,Accipitridae,Circus,455,470,4.5,34413.55815,17.1,0.999315537303217,44.7,2500,17331412.86,Grassland,3,3,Carnivore,Vertivore,Aerial,0.05449936628643853,0.9455006337135614,1.3115345688610272,2.5,3,3,Winner
Circus spilonotus,0.38972194676675176,-0.0546662375878056,0.8072639732656759,FALSE,ACCIPITRIFORMES,Accipitridae,Circus,550,521,4.5,37805.98992,18.053467460317464,1.7150581368589568,47.7,3000,5723030.46,Wetland,3,3,Carnivore,Vertivore,Aerial,0.05449936628643853,0.9455006337135614,1.3310843425280845,3,3,3,Stable
Cisticola juncidis,0.2171255627601356,-0.18762960088508457,0.63294650879952,FALSE,PASSERIFORMES,Cisticolidae,Cisticola,9,100.5,4.5,1296.25272,11.05931814574314,1.0764089420162284,13.5,2400,18929166.75,Grassland,3,3,Carnivore,Invertivore,Generalist,0.47275031685678076,0.5272496831432192,1.3622128262363342,2.5,3,3,Stable
Columba livia,0.2784510716378166,-0.26779201640345934,0.8017215177732103,FALSE,COLUMBIFORMES,Columbidae,Columba,270.5,335,2,22456.32,35,0.38329911019849416,45.1,3000,17464191.46,Human Modified,3,1,Herbivore,Granivore,Terrestrial,0.07858048162230671,0.9214195183776933,1.3326195947398953,4,1,1,Stable
