species,trend_class,trend_slope,bio4,bio7,bio11,bio13,elev_mean,hfi_mean,landcover_built,landcover_cropland
Hypsipetes leucocephalus,stable,0.007587374260432648,2.3012048013390185,0.1964570597478751,0.13011666860488016,0.09172949771224173,5.000791609951343,0.027110262609345674,9.570805949933421e-5,2.6271121039967517e-4
Apus apus,stable,0.0061180412197892765,473.54977092092156,52.21903855411454,33.4621236798749,20.663287307541566,1263.1548924728365,6.878181957512631,0.016833322376715382,0.08073044641741117
Cuculus micropterus,expanding,0.02017712083237851,202.77865413392806,25.019488733743138,12.28953449976964,9.846063588970795,670.6460975143448,2.929296051615109,0.007597602241348142,0.03680387176466735
Phalacrocorax carbo,expanding,0.03518521860496223,357.60502168920806,39.731807689649905,25.693962196509855,15.702803766159091,978.7198271092517,5.065950568687677,0.012163354297762776,0.06027462519970338
Phoenicurus fuliginosus,expanding,0.025005519164875128,62.78571362027919,4.00643075882964,4.247229172322897,1.8331798932559755,48.7575347056049,0.8110317576581665,0.002663727396499537,0.0056986283426533075
Prinia inornata,expanding,0.024145358945431565,15.63355156739209,1.0651870397345253,0.6406134472938093,0.49019031254190976,16.131030858615933,0.19541061506362722,0.0011106510460613497,0.0011900397415552837
Milvus migrans,stable,0.02270791020112154,274.0326166732833,30.97400655837614,19.886184588957025,12.222524929002233,753.051899250582,3.820465506380348,0.008566268291775828,0.04534328179423001
Bubulcus coromandus,stable,4.2835498568601256e-4,131.819683888481,10.358376816197769,8.749583670486615,4.403659296521678,179.23883523258942,1.588200876831316,0.004300326431233226,0.021202381036379406
Phylloscopus proregulus,expanding,0.01359926209088199,247.9161664001504,28.827684672856467,16.01309508015442,11.043013588003925,658.031397069265,3.6643199046520136,0.009187911039581175,0.04920885861105802
Acrocephalus orientalis,expanding,0.05059972826961889,366.53862398087915,39.16199676746087,26.127621626663412,15.363630823000975,887.1418901001343,5.144851023686756,0.012601308696986035,0.06559634418242709
Aegithalos glaucogularis,expanding,0.03471180149948495,368.57031255888774,32.570918524920394,22.55922309593024,13.26384843722395,559.5502669702123,4.633909723003786,0.009777184486053705,0.04524845584983729
Eudynamys scolopaceus,expanding,0.021499097559278386,72.02310351519398,5.308219034550753,4.431752468258139,2.4896959987273664,91.70604823634444,0.916546734517951,0.002592166827095333,0.007942342729588776
Anthus hodgsoni,stable,-0.006196478263856291,188.9840520700997,20.82073774196925,11.887951755189137,7.936788569287508,402.3206479289699,2.8181836803235596,0.006945995991742797,0.03932016937332642
Pterorhinus perspicillatus,expanding,0.03859995768950752,31.453030683289192,3.5044733305807343,1.3742039422276409,1.4160776993078845,60.172246411226595,0.4223468375835799,8.449064195260184e-4,0.004401126894037281
Charadrius dubius,expanding,0.03655794493983804,368.3283107969442,41.46097485186174,26.543421281422894,16.316431163438722,1019.8232757534003,5.330343980376465,0.013247993208995845,0.06421629691744608
Poecile palustris,expanding,0.02646984020360371,503.96847911611434,58.758968783487326,30.736211339030778,22.533961763925035,1230.9621678152391,7.98783300026287,0.020625303133841165,0.10829438376903987
Actitis hypoleucos,expanding,0.026546608408911723,312.33971999455525,35.07475137920483,22.423929842359883,13.87163984844129,869.3942098866042,4.464281616896477,0.010842981688004072,0.05293009044685094
Tadorna ferruginea,expanding,0.048399600243507764,360.8882976599599,36.84802714484955,26.153191837991425,14.90986023146323,886.2711768524673,4.904550605989233,0.011587401022372603,0.05512525552049359
