variable,importance,draw,group
delta_natural,0.009334888950942772,345,landuse_change
delta_hfi,0.009133198192856028,345,human_change
bio11,0.03194779663803917,345,baseline
elev_mean,0.022044239894469783,345,baseline
centroid_lon,0.10486047352979494,345,baseline
centroid_lat,0.019531109599184263,345,baseline
delta_t_mean,0.02115639491306491,118,climate_change
delta_t_extreme,0.042388170872381295,118,climate_change
delta_forest,0.015636373472655247,118,landuse_change
delta_impervious,0.029706810983564716,118,landuse_change
delta_natural,0.012736128141600023,118,landuse_change
delta_hfi,0.01440230397302343,118,human_change
bio11,0.040207450991351,118,baseline
elev_mean,0.029782476267467984,118,baseline
centroid_lon,0.1771778482657509,118,baseline
centroid_lat,0.038513225906767416,118,baseline
delta_t_mean,0.009438668832438305,88,climate_change
delta_t_extreme,0.019700957623527048,88,climate_change
delta_forest,0.008391919680464745,88,landuse_change
delta_impervious,0.017389100941024544,88,landuse_change
delta_natural,0.011130288564041349,88,landuse_change
delta_hfi,0.007758077225921353,88,human_change
bio11,0.031927864214942106,88,baseline
elev_mean,0.026740299402056075,88,baseline
centroid_lon,0.06037178595755465,88,baseline
centroid_lat,0.016087132041728465,88,baseline
delta_t_mean,0.014417848545359286,195,climate_change
delta_t_extreme,0.02944848955705335,195,climate_change
delta_forest,0.007500502950840511,195,landuse_change
delta_impervious,0.02019549303855589,195,landuse_change
delta_natural,0.012098433608012453,195,landuse_change
delta_hfi,0.011360664432829038,195,human_change
bio11,0.03060121147071739,195,baseline
elev_mean,0.022877476523669043,195,baseline
centroid_lon,0.1381050099445709,195,baseline
centroid_lat,0.0182158171353392,195,baseline
delta_t_mean,0.019014071914165435,174,climate_change
delta_t_extreme,0.03805342186396312,174,climate_change
delta_forest,0.01971236166805045,174,landuse_change
delta_impervious,0.038336302680952235,174,landuse_change
delta_natural,0.0218637569119186,174,landuse_change
delta_hfi,0.020735884457705668,174,human_change
bio11,0.04197118933009612,174,baseline
elev_mean,0.07789940526920067,174,baseline
centroid_lon,0.14142803598172843,174,baseline
centroid_lat,0.030417211723257228,174,baseline
delta_t_mean,0.01739541548289941,371,climate_change
delta_t_extreme,0.03793395473518453,371,climate_change
delta_forest,0.01215551419934553,371,landuse_change
delta_impervious,0.02432970164473447,371,landuse_change
delta_natural,0.012280613049322096,371,landuse_change
delta_hfi,0.011322284801815569,371,human_change
bio11,0.023642781438598996,371,baseline
elev_mean,0.03315441406993578,371,baseline
centroid_lon,0.1651972515606989,371,baseline
centroid_lat,0.02522233287555884,371,baseline
delta_t_mean,0.018759652341531215,306,climate_change
delta_t_extreme,0.0350014323994746,306,climate_change
delta_forest,0.014463486506030158,306,landuse_change
delta_impervious,0.03595970834507332,306,landuse_change
delta_natural,0.01464419279129989,306,landuse_change
delta_hfi,0.016570646353048488,306,human_change
bio11,0.03949794101683138,306,baseline
elev_mean,0.04561605962709255,306,baseline
centroid_lon,0.14453007005232354,306,baseline
centroid_lat,0.03442733947132894,306,baseline
delta_t_mean,0.008326063074937707,391,climate_change
delta_t_extreme,0.020137312428118892,391,climate_change
delta_forest,0.008183849264849847,391,landuse_change
delta_impervious,0.01658758850854393,391,landuse_change
delta_natural,0.007840371798534557,391,landuse_change
delta_hfi,0.007946489869342049,391,human_change
bio11,0.02789792998000401,391,baseline
elev_mean,0.02146636232318454,391,baseline
centroid_lon,0.0534101093578734,391,baseline
centroid_lat,0.01814459729816656,391,baseline
delta_t_mean,0.01578753671065281,317,climate_change
delta_t_extreme,0.03279169710624486,317,climate_change
delta_forest,0.01130334889589314,317,landuse_change
delta_impervious,0.022287502074944777,317,landuse_change
delta_natural,0.01100085291721317,317,landuse_change
delta_hfi,0.010777494402788555,317,human_change
bio11,0.04057498585214135,317,baseline
elev_mean,0.02503521828286476,317,baseline
centroid_lon,0.11520433084115317,317,baseline
centroid_lat,0.027248821314507083,317,baseline
delta_t_mean,0.018042116476680754,16,climate_change
delta_t_extreme,0.031763335932996496,16,climate_change
delta_forest,0.011891457129095846,16,landuse_change
delta_impervious,0.026702065851701897,16,landuse_change
delta_natural,0.012501765521797803,16,landuse_change
delta_hfi,0.012953892466460986,16,human_change
bio11,0.036490054337931656,16,baseline
elev_mean,0.024666258478812216,16,baseline
centroid_lon,0.14611368488208365,16,baseline
centroid_lat,0.031297538020573855,16,baseline
delta_t_mean,0.02101012783349355,325,climate_change
delta_t_extreme,0.03836674977946488,325,climate_change
delta_forest,0.01092310746460561,325,landuse_change
delta_impervious,0.03443222361674814,325,landuse_change
