species,trend_class,trend_grade,trend_slope,p_positive,p_negative,mk_tau,mk_p,diet_specialization,habitat_breadth,Habitat,Habitat.Density,Migration,Trophic.Level,Primary.Lifestyle,migration_score
Phylloscopus pulcher,stable,stable,0.0018455229713687821,0.645,0.355,0.2,0.8064959405073402,0.6000000000000001,2,Forest,1,1,Carnivore,Insessorial,1
Ardea purpurea,expanding,strong_expanding,0.05925593118671118,1,0,1,0.02748633611151034,0.1333333333333333,8,Wetland,3,3,Carnivore,Terrestrial,3
Phylloscopus armandii,stable,stable,0.004309071864362555,0.685,0.315,0.8,0.08641073297370003,1,5,Shrubland,2,1,Carnivore,Insessorial,1
Butastur indicus,stable,stable,6.773152535576743e-4,0.54,0.46,0,1,0,5,Woodland,2,3,Carnivore,Insessorial,3
Platalea leucorodia,expanding,strong_expanding,0.048546597234114135,1,0,1,0.02748633611151034,0.6,8,Wetland,3,2,Carnivore,Terrestrial,2
Emberiza tristrami,expanding,expanding,0.0293837874035264,0.98,0.02,0.8,0.08641073297370003,0.49999999999999983,2,Forest,1,3,Omnivore,Terrestrial,3
Spatula querquedula,expanding,expanding,0.03333094925020415,0.96,0.04,0.4,0.4624327264504763,0.6,8,Wetland,3,3,Omnivore,Aquatic,3
Alcippe hueti,expanding,expanding,0.013093788101500282,0.99,0.01,1,0.02748633611151034,0.6,5,NA,NA,NA,NA,NA,2
Garrulax perspicillatus,expanding,strong_expanding,0.026767881662118676,1,0,0.8,0.08641073297370003,0.6999999999999997,5,Shrubland,2,1,Carnivore,Terrestrial,1
Cinclus pallasii,stable,stable,-5.683373550639706e-4,0.495,0.505,-0.2,0.8064959405073402,1,8,Riverine,3,1,Carnivore,Generalist,1
Calidris ferruginea,expanding,expanding,0.03734953804567277,0.985,0.015,1,0.02748633611151034,0.6000000000000001,8,Coastal,3,3,Carnivore,Terrestrial,3
Tadorna tadorna,expanding,strong_expanding,0.04674911482721958,1,0,1,0.02748633611151034,0.5999999999999996,8,Coastal,3,2,Carnivore,Generalist,2
Chlidonias leucopterus,expanding,strong_expanding,0.041571670423213976,1,0,0.8,0.08641073297370003,0.6999999999999997,8,Wetland,3,3,Carnivore,Aerial,3
Anthus roseatus,expanding,expanding,0.022317376411091217,0.97,0.03,0.6,0.2206713619198468,1,8,Grassland,3,1,Carnivore,Terrestrial,1
Phoenicurus frontalis,expanding,expanding,0.013909405788296634,0.96,0.04,1,0.02748633611151034,1,2,Forest,1,2,Carnivore,Insessorial,2
Mareca strepera,expanding,strong_expanding,0.05244360470708704,1,0,0.8,0.08641073297370003,0.6,8,Wetland,3,2,Herbivore,Aquatic,2
Periparus rubidiventris,contracting,contracting,-0.012127159817286319,0.045,0.955,-1,0.02748633611151034,0.6,2,Forest,1,1,Carnivore,Insessorial,1
Eremophila alpestris,stable,stable,0.005148203042875228,0.82,0.18,0.4,0.4624327264504763,0,8,Grassland,3,3,Omnivore,Terrestrial,3
Aythya nyroca,expanding,strong_expanding,0.0613896995313127,0.995,0.005,0.8,0.08641073297370003,0.45000000000000007,8,Wetland,3,3,Herbivore,Aquatic,3
Calidris acuminata,expanding,expanding,0.02746766320061279,0.98,0.02,1,0.02748633611151034,0.6000000000000001,8,Wetland,3,3,Carnivore,Terrestrial,3
Ceryle rudis,expanding,strong_expanding,0.028470788627561482,1,0,1,0.02748633611151034,0.6000000000000001,8,Wetland,3,1,Carnivore,Insessorial,1
