grid_cell,selected,plan,budget
2129,0,A_richness_led,0.3
2130,0,A_richness_led,0.3
2131,0,A_richness_led,0.3
2132,0,A_richness_led,0.3
2133,1,A_richness_led,0.3
2134,1,A_richness_led,0.3
2135,1,A_richness_led,0.3
2136,1,A_richness_led,0.3
2137,1,A_richness_led,0.3
2138,1,A_richness_led,0.3
2139,1,A_richness_led,0.3
2140,1,A_richness_led,0.3
2171,0,A_richness_led,0.3
2182,0,A_richness_led,0.3
2183,0,A_richness_led,0.3
2184,0,A_richness_led,0.3
2186,0,A_richness_led,0.3
2187,0,A_richness_led,0.3
2188,0,A_richness_led,0.3
2189,0,A_richness_led,0.3
2191,0,A_richness_led,0.3
2193,0,A_richness_led,0.3
2194,0,A_richness_led,0.3
2195,0,A_richness_led,0.3
2196,0,A_richness_led,0.3
2197,0,A_richness_led,0.3
2198,0,A_richness_led,0.3
2199,0,A_richness_led,0.3
2200,0,A_richness_led,0.3
2201,0,A_richness_led,0.3
2202,0,A_richness_led,0.3
2203,0,A_richness_led,0.3
2204,1,A_richness_led,0.3
2205,1,A_richness_led,0.3
2206,1,A_richness_led,0.3
2207,1,A_richness_led,0.3
2208,1,A_richness_led,0.3
2209,1,A_richness_led,0.3
2210,1,A_richness_led,0.3
2211,1,A_richness_led,0.3
2212,1,A_richness_led,0.3
2213,1,A_richness_led,0.3
2214,1,A_richness_led,0.3
2240,0,A_richness_led,0.3
2241,0,A_richness_led,0.3
2250,0,A_richness_led,0.3
2254,0,A_richness_led,0.3
2255,0,A_richness_led,0.3
2257,0,A_richness_led,0.3
2258,0,A_richness_led,0.3
2259,0,A_richness_led,0.3
2260,0,A_richness_led,0.3
2261,0,A_richness_led,0.3
2262,0,A_richness_led,0.3
2263,0,A_richness_led,0.3
2264,0,A_richness_led,0.3
2265,0,A_richness_led,0.3
2266,0,A_richness_led,0.3
2267,0,A_richness_led,0.3
2268,0,A_richness_led,0.3
2269,0,A_richness_led,0.3
2270,0,A_richness_led,0.3
2271,0,A_richness_led,0.3
2272,0,A_richness_led,0.3
2273,0,A_richness_led,0.3
2274,0,A_richness_led,0.3
2275,1,A_richness_led,0.3
2276,1,A_richness_led,0.3
2277,1,A_richness_led,0.3
2278,1,A_richness_led,0.3
2279,1,A_richness_led,0.3
2280,1,A_richness_led,0.3
2281,1,A_richness_led,0.3
2282,1,A_richness_led,0.3
2283,1,A_richness_led,0.3
2284,1,A_richness_led,0.3
2285,1,A_richness_led,0.3
2286,1,A_richness_led,0.3
2312,0,A_richness_led,0.3
2313,0,A_richness_led,0.3
2320,0,A_richness_led,0.3
2326,0,A_richness_led,0.3
2327,0,A_richness_led,0.3
2328,0,A_richness_led,0.3
2329,0,A_richness_led,0.3
2330,0,A_richness_led,0.3
2331,0,A_richness_led,0.3
2332,0,A_richness_led,0.3
2333,0,A_richness_led,0.3
2334,0,A_richness_led,0.3
2335,0,A_richness_led,0.3
2336,0,A_richness_led,0.3
2337,0,A_richness_led,0.3
2338,0,A_richness_led,0.3
2339,0,A_richness_led,0.3
2340,0,A_richness_led,0.3
2341,0,A_richness_led,0.3
2342,0,A_richness_led,0.3
2343,0,A_richness_led,0.3
2344,0,A_richness_led,0.3
2345,0,A_richness_led,0.3
2346,1,A_richness_led,0.3
2347,1,A_richness_led,0.3
2348,1,A_richness_led,0.3
2349,1,A_richness_led,0.3
2350,1,A_richness_led,0.3
2351,1,A_richness_led,0.3
2352,1,A_richness_led,0.3
2353,1,A_richness_led,0.3
2354,1,A_richness_led,0.3
2355,1,A_richness_led,0.3
2356,1,A_richness_led,0.3
2357,1,A_richness_led,0.3
2358,1,A_richness_led,0.3
2359,1,A_richness_led,0.3
2384,0,A_richness_led,0.3
2385,0,A_richness_led,0.3
2386,0,A_richness_led,0.3
2390,0,A_richness_led,0.3
2392,0,A_richness_led,0.3
2393,0,A_richness_led,0.3
2394,0,A_richness_led,0.3
2395,0,A_richness_led,0.3
2397,0,A_richness_led,0.3
2398,0,A_richness_led,0.3
2399,0,A_richness_led,0.3
2400,0,A_richness_led,0.3
2401,0,A_richness_led,0.3
2402,0,A_richness_led,0.3
2403,0,A_richness_led,0.3
2405,0,A_richness_led,0.3
2406,0,A_richness_led,0.3
2407,0,A_richness_led,0.3
2408,0,A_richness_led,0.3
2409,0,A_richness_led,0.3
2410,0,A_richness_led,0.3
2411,0,A_richness_led,0.3
2412,0,A_richness_led,0.3
2413,0,A_richness_led,0.3
2414,0,A_richness_led,0.3
2415,0,A_richness_led,0.3
2416,0,A_richness_led,0.3
2417,1,A_richness_led,0.3
2418,1,A_richness_led,0.3
2419,1,A_richness_led,0.3
2420,1,A_richness_led,0.3
2421,1,A_richness_led,0.3
2422,1,A_richness_led,0.3
2423,1,A_richness_led,0.3
2424,1,A_richness_led,0.3
2425,1,A_richness_led,0.3
2426,1,A_richness_led,0.3
2427,1,A_richness_led,0.3
2428,1,A_richness_led,0.3
2429,1,A_richness_led,0.3
2430,1,A_richness_led,0.3
2431,1,A_richness_led,0.3
2456,0,A_richness_led,0.3
2457,0,A_richness_led,0.3
2458,0,A_richness_led,0.3
2462,0,A_richness_led,0.3
2464,0,A_richness_led,0.3
2466,0,A_richness_led,0.3
2468,0,A_richness_led,0.3
2469,0,A_richness_led,0.3
2470,0,A_richness_led,0.3
2471,0,A_richness_led,0.3
2472,0,A_richness_led,0.3
2473,0,A_richness_led,0.3
2474,0,A_richness_led,0.3
2475,0,A_richness_led,0.3
2476,0,A_richness_led,0.3
2478,0,A_richness_led,0.3
2479,0,A_richness_led,0.3
2480,0,A_richness_led,0.3
2481,0,A_richness_led,0.3
2482,0,A_richness_led,0.3
2483,0,A_richness_led,0.3
2484,0,A_richness_led,0.3
2485,0,A_richness_led,0.3
2486,0,A_richness_led,0.3
