species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Phylloscopus armandii,theil_sen,0.004309071864362555,0.00824288476976466,-0.008717287642840552,-0.0017835389799540553,0.0035642494671836488,0.010612772510218627,0.019405549501030347,0.685,0.315,stable,stable,8,0.8,0.08641073297370003
Butastur indicus,theil_sen,6.773152535576743e-4,0.010611109442022813,-0.022522562985286952,-0.005500848792284234,7.6880599494786e-4,0.0075689635767554175,0.020141134065609054,0.54,0.46,stable,stable,0,0,1
Platalea leucorodia,theil_sen,0.048546597234114135,0.011654161006252427,0.023917159399664812,0.040341213335132284,0.0489829703277254,0.05731502653762333,0.06863530691589086,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Emberiza tristrami,theil_sen,0.0293837874035264,0.011662490386930976,0.0021803077927962876,0.022840847443342385,0.029667118405267586,0.03740761555837135,0.049338654713006386,0.98,0.02,expanding,expanding,8,0.8,0.08641073297370003
Spatula querquedula,theil_sen,0.03333094925020415,0.019843086441333847,-0.0064014056008890865,0.020197424328479603,0.03412760321127065,0.04652604184676562,0.0697913695749018,0.96,0.04,expanding,expanding,4,0.4,0.4624327264504763
Alcippe hueti,theil_sen,0.013093788101500282,0.003420797455605229,0.005872996049323245,0.011158200671126025,0.013754139787367258,0.015317416475902285,0.01892996478042805,0.99,0.01,expanding,expanding,10,1,0.02748633611151034
Garrulax perspicillatus,theil_sen,0.026767881662118676,0.005352613323126085,0.014950944895517869,0.02317265995646551,0.027172882883291456,0.03067040179010251,0.034965292873345585,1,0,expanding,strong_expanding,8,0.8,0.08641073297370003
Cinclus pallasii,theil_sen,-5.683373550639706e-4,0.01364914262819246,-0.026678709292696785,-0.010549736004237496,-1.852059535787827e-4,0.008727179139268675,0.026921661643745876,0.495,0.505,stable,stable,-2,-0.2,0.8064959405073402
Calidris ferruginea,theil_sen,0.03734953804567277,0.016824879067523085,0.004491571549099208,0.027013493193304663,0.03851490287878034,0.05001352330027146,0.06506161261262673,0.985,0.015,expanding,expanding,10,1,0.02748633611151034
Tadorna tadorna,theil_sen,0.04674911482721958,0.012490756554937189,0.0229814823970954,0.0378759863223533,0.04644105376689216,0.05621041977609969,0.07069725996984823,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Chlidonias leucopterus,theil_sen,0.041571670423213976,0.012525637655941344,0.016290737333785627,0.033307463003517265,0.04182481385525193,0.05004772574270816,0.06523226257233385,1,0,expanding,strong_expanding,8,0.8,0.08641073297370003
Anthus roseatus,theil_sen,0.022317376411091217,0.010994836776017924,-1.3849748961411052e-4,0.015929254038436747,0.022766957312670255,0.02951245775223161,0.04080328595060653,0.97,0.03,expanding,expanding,6,0.6,0.2206713619198468
Phoenicurus frontalis,theil_sen,0.013909405788296634,0.007291582880223836,-0.0016358283448940575,0.009694465984804272,0.013799635661854374,0.018819807512044432,0.027026498217683683,0.96,0.04,expanding,expanding,10,1,0.02748633611151034
Mareca strepera,theil_sen,0.05244360470708704,0.014156710632147544,0.0244725262265446,0.04350612915723233,0.053410600970666036,0.06197184507649692,0.07657380568676551,1,0,expanding,strong_expanding,8,0.8,0.08641073297370003
Periparus rubidiventris,theil_sen,-0.012127159817286319,0.007262731523896083,-0.025981137092750104,-0.017077403339219602,-0.012420718588335733,-0.006903336932583463,0.00171362092690669,0.045,0.955,contracting,contracting,-10,-1,0.02748633611151034
Eremophila alpestris,theil_sen,0.005148203042875228,0.005405348218849173,-0.005112650312837145,0.0017587189383436383,0.0048905399763923205,0.00869363057269399,0.017163651258144282,0.82,0.18,stable,stable,4,0.4,0.4624327264504763
Aythya nyroca,theil_sen,0.0613896995313127,0.019677881709174467,0.013580324593944416,0.050172560994349816,0.0632172993940144,0.07546926665819509,0.09253613959377102,0.995,0.005,expanding,strong_expanding,8,0.8,0.08641073297370003
Calidris acuminata,theil_sen,0.02746766320061279,0.011498690575800781,0.003402104317905309,0.0201396924478669,0.02813941373221143,0.0349069368766623,0.04782919214808487,0.98,0.02,expanding,expanding,10,1,0.02748633611151034
Ceryle rudis,theil_sen,0.028470788627561482,0.007313537728151959,0.01393123116056623,0.023448904919389987,0.029436777187042018,0.03376612331607233,0.0403477067187703,1,0,expanding,strong_expanding,10,1,0.02748633611151034
