mean,sd,q025,median,q975,metric,method,grid_cell,hfi_q
1.9489597306951696,0.2180756131575645,1.5107520669510583,1.9527010230438957,2.3576228515706306,corrected_richness,ols,855,Q4 (high HFI)
1.927639475955339,0.21750514019132175,1.4825942270801349,1.9335882437620369,2.335801870223634,corrected_richness,ols,856,Q4 (high HFI)
2.2494575651442372,0.21307406041786756,1.842679372417365,2.2569053895106137,2.661412362499069,corrected_richness,ols,857,Q4 (high HFI)
2.684321671388872,0.2283049785426929,2.2813206239107964,2.6747863497696427,3.1390018925110192,corrected_richness,ols,858,Q4 (high HFI)
2.5867051973394184,0.21308958668749145,2.1718638432756463,2.5807305073713045,2.985424011889954,corrected_richness,ols,859,Q4 (high HFI)
2.538198769897799,0.20249421230373907,2.1491845678980317,2.5278021890153544,2.9092668800535093,corrected_richness,ols,860,Q4 (high HFI)
2.064764847364238,0.17186024389273635,1.7444470213821626,2.055363811833485,2.417704324158114,corrected_richness,ols,876,Q1 (low HFI)
2.178790881151834,0.15572411997306432,1.8934083236548096,2.173842031215495,2.5023921063044905,corrected_richness,ols,877,Q1 (low HFI)
2.216144443152672,0.15665010626684664,1.9469222902722727,2.2111036993352107,2.545674109337634,corrected_richness,ols,878,Q1 (low HFI)
2.24261125541343,0.159997549807178,1.9417276872427984,2.237470885126511,2.5641845829350634,corrected_richness,ols,879,Q1 (low HFI)
2.363497260868383,0.1538342151997759,2.082037943730783,2.3587778938350583,2.6809388370516114,corrected_richness,ols,881,Q1 (low HFI)
2.4231088769229916,0.15735639227851475,2.1274662779178586,2.4081818676909243,2.726085766312097,corrected_richness,ols,882,Q1 (low HFI)
2.419830562848685,0.16409690215144904,2.09772932677538,2.422557123827684,2.772763170195345,corrected_richness,ols,883,Q1 (low HFI)
2.7162969346248627,0.1557150084488212,2.4041719698879733,2.708971622159491,3.025919578854191,corrected_richness,ols,884,Q1 (low HFI)
2.500654195279962,0.1764431421482627,2.1667983777162614,2.4966505729273205,2.8696748973689385,corrected_richness,ols,885,Q1 (low HFI)
3.445548296930638,0.24712480781382223,2.9788536103638616,3.4531172764700475,3.9576631359003223,corrected_richness,ols,916,Q4 (high HFI)
3.4731915014702115,0.25825697469473397,2.9650619135487184,3.4657321688414613,3.998713025619631,corrected_richness,ols,917,Q4 (high HFI)
3.3619456366885228,0.25454860841213484,2.8612447979085975,3.3545646383869263,3.8721546569237897,corrected_richness,ols,918,Q1 (low HFI)
3.1166063046930947,0.2242828484377643,2.716794975312253,3.111928537851486,3.574069493505421,corrected_richness,ols,920,Q1 (low HFI)
2.7983049210302355,0.23322503324952532,2.3930032222455635,2.800801157960338,3.2742018700630777,corrected_richness,ols,921,Q1 (low HFI)
2.6453953218944357,0.27200062009409226,2.1276799225533543,2.655819897668312,3.1654739805989314,corrected_richness,ols,922,Q1 (low HFI)
2.7031741673994643,0.22776484904652347,2.2475516668824382,2.6986071778047,3.161674740305361,corrected_richness,ols,923,Q2
2.476724174667393,0.21632199135607583,2.0660212734190564,2.472631823545128,2.906852608237029,corrected_richness,ols,927,Q1 (low HFI)
2.4081944138209974,0.22462939934611512,2.00390411251466,2.3974355105576928,2.8953101796163905,corrected_richness,ols,929,Q1 (low HFI)
2.434095636575692,0.2078192744974954,2.029060246706725,2.423792096145089,2.8472009392391997,corrected_richness,ols,931,Q1 (low HFI)
2.293110944030763,0.14838851246816534,2.004070731775066,2.2885163608483285,2.577647732808169,corrected_richness,ols,947,Q4 (high HFI)
2.31768175878606,0.13456978799227853,2.060033794391866,2.322596053133726,2.570003775787189,corrected_richness,ols,948,Q3
2.218697861375328,0.1385030464936606,1.9654432972829592,2.218584239457371,2.4662672583859213,corrected_richness,ols,949,Q4 (high HFI)
2.408202991645501,0.13620841302481743,2.152406949500208,2.4040519021446767,2.663964255196837,corrected_richness,ols,950,Q3
2.366131094435376,0.1586521652533649,2.0663614242244437,2.3639078522493575,2.70088955614518,corrected_richness,ols,951,Q3
2.4721999587515384,0.1531453865727076,2.180278869665424,2.4686124931068134,2.775884755985123,corrected_richness,ols,952,Q3
2.5273394535462432,0.15087943889318586,2.2483179805122826,2.5216284422616693,2.8035055986790365,corrected_richness,ols,953,Q3
2.87337907689893,0.14892194181673876,2.5796105538623575,2.8694640046180355,3.181092548948621,corrected_richness,ols,955,Q3
2.874853303711355,0.15072035085938867,2.5659098094446895,2.8712239723757778,3.170377720499973,corrected_richness,ols,956,Q3
3.3708945978479448,0.24976722764378892,2.886420754298863,3.3817100698889124,3.84438704757344,corrected_richness,ols,985,Q1 (low HFI)
3.3812054967346534,0.25000200394090555,2.8804059421706456,3.380803529302284,3.8532543118645575,corrected_richness,ols,986,Q1 (low HFI)
3.374555962418742,0.24756829724237345,2.9056955270291223,3.3729751738674185,3.8388813197343543,corrected_richness,ols,987,Q1 (low HFI)
3.2466308945852456,0.22672674464929424,2.820934483944399,3.2442379704740416,3.702085995813945,corrected_richness,ols,988,Q1 (low HFI)
3.257418403306626,0.22296547148913212,2.86211438319759,3.248848502249979,3.675426033286812,corrected_richness,ols,989,Q1 (low HFI)
3.030436030943282,0.2092757331517436,2.662032691013932,3.0271190875099068,3.4451839648918843,corrected_richness,ols,991,Q1 (low HFI)
3.0704014265418276,0.2073194663924251,2.693046884775112,3.0601951242980805,3.4719164741155497,corrected_richness,ols,992,Q1 (low HFI)
3.0456705755131286,0.21289693146972496,2.666891999412743,3.036019712324966,3.494214875684277,corrected_richness,ols,993,Q1 (low HFI)
2.868721715030873,0.21030374900517856,2.4903439062202084,2.853536962163243,3.3352176295305567,corrected_richness,ols,994,Q1 (low HFI)
2.9086137601126665,0.2077718808381978,2.543728061248058,2.8942183223113664,3.3280602589622497,corrected_richness,ols,995,Q1 (low HFI)
