species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative,trend_class,trend_grade,mk_S,mk_tau,mk_p
Calidris falcinellus,theil_sen,0.02498450397312149,0.007367028687143686,0.010649701655824203,0.02043196020337202,0.025194484045096055,0.03028485273024159,0.037469199170177346,0.9975,0.0025,expanding,strong_expanding,10,1,0.02748633611151034
Larus ichthyaetus,theil_sen,0.03620052881670346,0.009118640051812375,0.017471312042581604,0.0305706000294215,0.03653875462856877,0.04241224291567136,0.05351419727762336,1,0,expanding,strong_expanding,10,1,0.02748633611151034
Phylloscopus subaffinis,theil_sen,-0.007853721196870155,0.014039971708338504,-0.038607213774884325,-0.01636374566663778,-0.006380026532197002,9.965577912465357e-4,0.016662304977517375,0.2775,0.7225,stable,stable,-4,-0.4,0.4624327264504763
Grus nigricollis,theil_sen,0.0016011343566858206,0.004801832399099155,-0.007562668651567884,-0.0018611948860383825,0.0017389091781579765,0.00492635482893149,0.009759585111267777,0.6425,0.3575,stable,stable,4,0.4,0.4624327264504763
Phylloscopus ogilviegranti,theil_sen,-0.031145611561354213,0.016628976550721136,-0.0674856040793604,-0.042485680107466985,-0.03030343569387704,-0.019671758023753826,-0.0025124921127977397,0.0175,0.9825,contracting,contracting,-8,-0.8,0.08641073297370003
Horornis canturians,theil_sen,0.05477802550841485,0.023242681943986078,0.010717347639451475,0.038314772290471595,0.05480069748718247,0.07211464328821487,0.09689994159009056,0.99,0.01,expanding,expanding,6,0.6,0.2206713619198468
Charadrius placidus,theil_sen,0.06181114680474629,0.01945153275778803,0.019505161437668082,0.04930793683176305,0.06431129948785518,0.07604615770928375,0.09405034828754402,0.995,0.005,expanding,strong_expanding,8,0.8,0.08641073297370003
Oenanthe pleschanka,theil_sen,0.004149112040804771,0.0074711973990537455,-0.011363916251717315,-1.492097328787169e-4,0.004293200915977593,0.009378055499825831,0.017817437107360123,0.7425,0.2575,stable,stable,2,0.2,0.8064959405073402
Leucosticte nemoricola,theil_sen,0.0066131415220160765,0.005066497290961561,-0.003977533659600733,0.0035597972202313175,0.006582177543169382,0.010070520799501506,0.015787431043942056,0.9025,0.0975,stable,stable,10,1,0.02748633611151034
Enicurus scouleri,theil_sen,0.0074960489415983,0.009847614666623088,-0.014175396000135879,0.0020037229829542643,0.007915206876105786,0.014277257906458249,0.02630093429826741,0.8025,0.1975,stable,stable,6,0.6,0.2206713619198468
Galerida cristata,theil_sen,0.012907731952285369,0.00940721812015138,-0.006182594025674355,0.007271113257860288,0.012970174003620596,0.018980483579386326,0.031250437933612825,0.9225,0.0775,stable,stable,10,1,0.02748633611151034
Paradoxornis gularis,theil_sen,0.008724312392717355,0.00929078330010207,-0.010295902752097581,0.0027312943974889285,0.008743374965719542,0.015322935236675553,0.024329281013236136,0.8275,0.1725,stable,stable,10,1,0.02748633611151034
