grid_cell,naive_trend,corrected_trend,trend_diff,direction_flipped
1306,6.399999999999999,4.7846898104517415,-1.6153101895482571,FALSE
1307,9,4.799569480749106,-4.200430519250894,FALSE
1308,6.399999999999999,4.414280229424293,-1.985719770575706,FALSE
1309,15.7,4.021120112244157,-11.678879887755842,FALSE
1312,1.7999999999999994,5.348070856084158,3.5480708560841587,FALSE
1313,10.599999999999998,5.417609090776387,-5.182390909223611,FALSE
1314,5.499999999999999,5.917652795515131,0.41765279551513146,FALSE
1315,13.999999999999995,5.926844929251308,-8.073155070748687,FALSE
1316,4.799999999999999,6.177373381246741,1.3773733812467421,FALSE
1319,1.1999999999999995,6.6553853834612555,5.455385383461256,FALSE
1320,7.4,7.016397363703413,-0.38360263629658764,FALSE
1321,6.1,6.938984659776265,0.8389846597762656,FALSE
