period,species,mean_psi_inside,mean_psi_outside,psi_diff,habitat_breadth,sp_group
P1,Phylloscopus humei,0.7995343868509434,0.4812034410192713,0.31833094583167204,2,specialist
P1,Apus pacificus,0.6018869760621572,0.7307876098633524,-0.1289006338011952,2,specialist
P1,Emberiza godlewskii,0.8077000602839018,0.4821202067269364,0.32557985355696545,5,specialist
P1,Tringa erythropus,0.21456399862975187,0.3142139956426288,-0.09964999701287694,8,generalist
P1,Enicurus leschenaulti,0.08551294802431206,0.21279784719701197,-0.12728489917269992,8,generalist
P1,Phylloscopus borealis,0.4545995010536476,0.6831490028416524,-0.22854950178800476,2,specialist
P1,Cuculus poliocephalus,0.3032302491241167,0.43077317909990304,-0.1275429299757863,2,specialist
P1,Phylloscopus coronatus,0.24881934122422583,0.5183893339088822,-0.26956999268465637,5,specialist
P1,Phylloscopus trochiloides,0.7348064008269308,0.38594695700799536,0.34885944381893547,2,specialist
P1,Pericrocotus solaris,0.026369748242077662,0.17237819371677898,-0.14600844547470132,5,specialist
P1,Aethopyga gouldiae,0.21552097856722272,0.17171792017565257,0.04380305839157014,2,specialist
P1,Tringa stagnatilis,0.17455784574859515,0.31570412674724213,-0.14114628099864698,8,generalist
P1,Muscicapa dauurica,0.10028385585413578,0.3284876192571013,-0.2282037634029655,2,specialist
P1,Buteo japonicus,0.5346922424692226,0.6955585940602674,-0.1608663515910448,8,generalist
P1,Gelochelidon nilotica,0.1610411120607305,0.24093166468709543,-0.07989055262636494,8,generalist
P1,Eumyias thalassinus,0.10160225293614497,0.202612605668861,-0.10101035273271602,2,specialist
P1,Sitta villosa,0.2667092526672325,0.26950957210224963,-0.002800319435017129,2,specialist
P1,Alauda gulgula,0.47680681665727864,0.43382816814964337,0.042978648507635275,8,generalist
P1,Calidris ruficollis,0.10205263432343863,0.1622023462554002,-0.06014971193196157,8,generalist
P1,Pernis ptilorhynchus,0.2906240914483257,0.3583163109976848,-0.06769221954935911,5,specialist
P1,Limosa limosa,0.22501873672966924,0.2576320380339171,-0.03261330130424786,8,generalist
P1,Phylloscopus pulcher,0.4828848600590658,0.2805860810894841,0.2022987789695817,2,specialist
P1,Ardea purpurea,0.13215563388270388,0.23054762523513625,-0.09839199135243237,8,generalist
P1,Phylloscopus armandii,0.8111870034644144,0.49708958166130823,0.3140974218031062,5,specialist
P1,Butastur indicus,0.19356240173784472,0.5263069953135773,-0.33274459357573255,5,specialist
P1,Platalea leucorodia,0.15625903958647705,0.25142856882904224,-0.09516952924256519,8,generalist
P1,Emberiza tristrami,0.12801655690752012,0.2935888638023808,-0.1655723068948607,2,specialist
P1,Spatula querquedula,0.5192196573338288,0.5755880703182229,-0.0563684129843941,8,generalist
P1,Alcippe hueti,0.004123717027830604,0.08600783775744768,-0.08188412072961708,5,specialist
P1,Garrulax perspicillatus,0.005813893773198159,0.06520488960070131,-0.05939099582750315,5,specialist
P1,Cinclus pallasii,0.20694939854489933,0.27878764277906,-0.07183824423416066,8,generalist
P1,Calidris ferruginea,0.2320267224296746,0.2606044423527207,-0.028577719923046085,8,generalist
P1,Tadorna tadorna,0.3086294185380814,0.3549057015890753,-0.046276283050993905,8,generalist
P1,Chlidonias leucopterus,0.27807108060382835,0.3568334027291083,-0.07876232212527995,8,generalist
P1,Anthus roseatus,0.6290812520042074,0.3876049106164276,0.2414763413877798,8,generalist
P1,Phoenicurus frontalis,0.5062856775044143,0.28666770359528765,0.21961797390912668,2,specialist
P1,Mareca strepera,0.5490712395671457,0.5151166262116909,0.0339546133554548,8,generalist
P1,Periparus rubidiventris,0.3824972771117599,0.22571029174240048,0.15678698536935942,2,specialist
P1,Eremophila alpestris,0.734597807924634,0.396797551665464,0.33780025625917004,8,generalist
P1,Aythya nyroca,0.5324813306483656,0.4130046692527027,0.11947666139566288,8,generalist
P1,Calidris acuminata,0.12044846048099446,0.2222999506169194,-0.10185149013592494,8,generalist
P1,Ceryle rudis,0.01760512402417489,0.12173787891390302,-0.10413275488972812,8,generalist
P2,Passer montanus,0.8823316413209863,0.9233500867701635,-0.04101844544917721,5,specialist
P2,Pycnonotus sinensis,0.12797190456338567,0.42384766417213093,-0.29587575960874524,5,specialist
P2,Hirundo rustica,0.6874867171234513,0.812313553744266,-0.12482683662081462,8,generalist
P2,Spilopelia chinensis,0.16187759221245265,0.43346956200721476,-0.2715919697947621,8,generalist
P2,Pica serica,0.3114172668050914,0.4845194995762642,-0.17310223277117281,5,specialist
P2,Motacilla alba,0.9738173614898212,0.9590330075410113,0.014784353948809947,8,generalist
P2,Turdus mandarinus,0.12147472465558914,0.3687902258060508,-0.24731550115046166,5,specialist
P2,Egretta garzetta,0.20063365886269638,0.4475011336412181,-0.2468674747785217,8,generalist
P2,Parus minor,0.34886617761571453,0.5926929367592941,-0.2438267591435796,5,specialist
P2,Cyanopica cyanus,0.34558028943641156,0.43674935472748294,-0.09116906529107138,5,specialist
P2,Streptopelia orientalis,0.7125621485053102,0.8111173656526344,-0.09855521714732418,8,generalist
P2,Tachybaptus ruficollis,0.3637838059197897,0.5643678080303307,-0.200584002110541,8,generalist
P2,Nycticorax nycticorax,0.22946080549356718,0.4065572940682177,-0.17709648857465055,8,generalist
P2,Gallinula chloropus,0.3832485708152597,0.5557273339465856,-0.17247876313132587,8,generalist
P2,Sinosuthora webbiana,0.14003667185095198,0.3692593995522219,-0.22922272770126995,5,specialist
P2,Chloris sinica,0.4285831341264714,0.6233533703476822,-0.1947702362212108,5,specialist
P2,Cecropis daurica,0.28832170075339986,0.613354383529602,-0.3250326827762022,8,generalist
P2,Acridotheres cristatellus,0.08804838514607095,0.3276464028428978,-0.23959801769682687,8,generalist
P2,Ardeola bacchus,0.20128025203282635,0.4497653607677548,-0.24848510873492846,8,generalist
P2,Copsychus saularis,0.05814737440729584,0.2903390919104414,-0.23219171750314554,2,specialist
P2,Ardea cinerea,0.48108868113678166,0.6064173404245122,-0.12532865928773057,8,generalist
P2,Anas platyrhynchos,0.7104948469049849,0.6924146299558548,0.01808021694913009,8,generalist
P2,Lanius schach,0.1099506860876331,0.3376872013836488,-0.22773651529601574,5,specialist
P2,Spodiopsar cineraceus,0.29946009517360933,0.5088394164773272,-0.2093793213037179,8,generalist
P2,Alcedo atthis,0.3839235291454661,0.6341115193835406,-0.2501879902380745,5,specialist
P2,Anas zonorhyncha,0.33282372325925375,0.48591235302238905,-0.1530886297631353,8,generalist
P2,Phasianus colchicus,0.5472827371051894,0.6422640920198284,-0.094981354914639,5,specialist
P2,Zosterops simplex,0.10326104117277098,0.3773440900242948,-0.27408304885152385,5,specialist
P2,Cuculus canorus,0.9490613247529343,0.7782632696055797,0.17079805514735458,5,specialist
P2,Corvus macrorhynchos,0.5158931303585385,0.570323210078422,-0.05443007971988356,5,specialist
P2,Upupa epops,0.9226536467503347,0.7886908266260234,0.13396282012431127,8,generalist
P2,Dendrocopos major,0.5292490464698035,0.5834473364564017,-0.05419828998659815,2,specialist
P2,Spodiopsar sericeus,0.057307162238192745,0.2598509296408643,-0.20254376740267158,5,specialist
P2,Dicrurus macrocercus,0.24382309333324007,0.48963772500009906,-0.245814631666859,5,specialist
P2,Spizixos semitorques,0.07151223959801455,0.22765442543690775,-0.15614218583889322,5,specialist
P2,Phoenicurus auroreus,0.40073406232733044,0.6547778243351441,-0.25404376200781364,5,specialist
