species,method,mean,sd,q025,q25,median,q75,q975,p_positive,p_negative
Carpodacus vinaceus,theil_sen,-0.001393202716991832,0.0110485918583186,-0.02570540562891299,-0.008789898392457049,-3.9112542630517083e-4,0.006617441668754831,0.017250996189934566,0.4875,0.5125
Pandion haliaetus,theil_sen,0.04716462652533417,0.024649063696469825,-0.0027942243268631694,0.03203417213025682,0.04825787362188934,0.06541841221213193,0.09293715268077046,0.9675,0.0325
Numenius madagascariensis,theil_sen,0.018247228221978638,0.005575216820295917,0.0065033588108943646,0.014830571970031636,0.018268017501809532,0.02171464947371144,0.028745520420061548,1,0
Turdus cardis,theil_sen,0.028960909686484255,0.011612647036683169,0.004356895731128473,0.022047272925046303,0.029326507631247,0.03627224482670301,0.050384416807453675,0.98,0.02
Cacomantis merulinus,theil_sen,0.01925863310793152,0.004537250516898727,0.00875527636536119,0.016007677917838206,0.01932890095876918,0.022456262241118845,0.02775769256022622,1,0
Calidris subminuta,theil_sen,0.025532833688665095,0.02260035509800765,-0.02161555649607838,0.012133631554663694,0.026932342388310486,0.040351759615825926,0.06693712619398691,0.87,0.13
Elanus caeruleus,theil_sen,0.02795198165282051,0.009127627006009545,0.00960994955449684,0.022355642813476826,0.028150204696409095,0.034375434032365024,0.044211473445739516,0.9975,0.0025
Athene noctua,theil_sen,0.008438633921869356,0.00928007054750881,-0.012909411163408482,0.00317653692426574,0.009004815822191502,0.014397669870306141,0.024853765882325445,0.85,0.15
Halcyon pileata,theil_sen,-0.01386017131386518,0.009491700878337929,-0.031396565545599414,-0.019730276520497726,-0.013439042304850924,-0.007909304082444968,0.0038998493211639994,0.0625,0.9375
Pterorhinus davidi,theil_sen,0.04224508746679448,0.011623717793799285,0.018101594044542712,0.035763572375862404,0.04330017703343299,0.05001135385312141,0.06318030761769722,0.9975,0.0025
Troglodytes troglodytes,theil_sen,6.51576838440148e-4,0.010178394464123245,-0.019206620068322022,-0.005783428607616173,0.0011704438908031907,0.007362125174132072,0.020900121060170845,0.5425,0.4575
Egretta intermedia,theil_sen,-0.002405826116944464,0.008303154049313997,-0.019077773907071955,-0.008252346633998146,-0.0024439532554611414,0.003598840144261871,0.012933824967333835,0.3875,0.6125
Alauda arvensis,theil_sen,0.05786181950382118,0.01287255857067536,0.030015549389288326,0.04937459989967312,0.0589322230350825,0.06696189499254797,0.08085760261948574,1,0
Glaucidium brodiei,theil_sen,0.02230844830857064,0.008830956865254388,0.005420989362191086,0.016358129356235568,0.022836289571053586,0.028615605759658592,0.038568771505801167,0.985,0.015
Lophophanes dichrous,theil_sen,-0.025355735351156983,0.009279771980697828,-0.04594255115474962,-0.03122563125932601,-0.024766033752345224,-0.018843094576125062,-0.009132302037983339,0,1
Enicurus schistaceus,theil_sen,0.021521679065318895,0.005157664355185594,0.011166114008208286,0.01772710780619338,0.021818094234262883,0.025050897825488607,0.031238694370225677,1,0
Mergus merganser,theil_sen,0.02713706440224039,0.010721415767142013,0.008106731192193812,0.019138603084830386,0.027131265119879188,0.034797336868617024,0.04951414242845743,0.995,0.005
Pica bottanensis,theil_sen,0.012350757809057644,0.006828512934078991,-0.002061483487787811,0.007432596485568254,0.012379390063429039,0.0172385045087774,0.024626884981696226,0.955,0.045
Yuhina diademata,theil_sen,-0.006490704313124345,0.008900205363002595,-0.022962690744522663,-0.012987362919926372,-0.006618715018393721,-0.0013013823835785893,0.012534044860556244,0.23,0.77
Luscinia svecica,theil_sen,0.07310457618195594,0.014299868630407714,0.04498968068809577,0.0645307852190761,0.07328606477301738,0.08318784813765642,0.09946027909557247,1,0
Ficedula strophiata,theil_sen,5.560555646219785e-5,0.01029388251349691,-0.02177997674683863,-0.0057881277152684076,0.0012513685480943614,0.007272931146418419,0.0180412886130532,0.5325,0.4675
Monticola solitarius,theil_sen,0.005985104567183435,0.013657780191090077,-0.02029147532638295,-0.003752676841369453,0.006961787199764334,0.015734595835509117,0.03269562904253848,0.6775,0.3225
Glareola maldivarum,theil_sen,0.03403470226082323,0.01440078083442516,0.0033371365976219104,0.024426803519061936,0.03577599498979682,0.04444714833179028,0.05858462726899858,0.9825,0.0175
Alaudala cheleensis,theil_sen,-0.001009591325872556,0.010368276296910282,-0.023123495475447155,-0.008008101267391191,1.201806177956952e-4,0.006070257713264792,0.016625398590897303,0.505,0.495
Ciconia nigra,theil_sen,0.04843472720791935,0.016957056933119382,0.016822132304362605,0.03782581004675033,0.04798398119236164,0.05971621923388856,0.08097314248299499,0.9975,0.0025
