species,protected_fraction,meets_30pct,habitat_breadth,trend_slope
Phylloscopus fuscatus,0.05906245721893781,FALSE,2,0.02129276777320696
Myophonus caeruleus,0.06079127496052197,FALSE,2,0.01970217898347711
Pyrrhocorax pyrrhocorax,0.09716665210893068,FALSE,8,0.003558117570078
Ficedula zanthopygia,0.047650789002937566,FALSE,2,0.01180957692464485
Pericrocotus cantonensis,0.039210397145517786,FALSE,2,0.00488712916683458
Ixos mcclellandii,0.04545931837497659,FALSE,2,0.03135500411622533
Tringa nebularia,0.05947346842219169,FALSE,8,0.04424816891245742
Dicrurus hottentottus,0.04234276511506278,FALSE,2,-0.00440306526391455
Gracupica nigricollis,0.030737016881589606,FALSE,8,0.01987753735548857
Tringa totanus,0.07831134469524699,FALSE,8,0.04421881748883533
Hierococcyx sparverioides,0.05685186959292981,FALSE,2,0.04293299570563298
Leiothrix lutea,0.04851066503009281,FALSE,2,-0.00378054764477062
Charadrius alexandrinus,0.06312677368167555,FALSE,8,0.04681868063429454
Dendrocitta formosae,0.03484580447019054,FALSE,5,0.01682605268214746
Aix galericulata,0.05338599970518431,FALSE,8,0.04686703267668358
Motacilla tschutschensis,0.06080573648737481,FALSE,8,0.03285079948204407
Falco amurensis,0.057225210078919106,FALSE,8,0.05740096459241119
Delichon dasypus,0.07263104269749146,FALSE,5,-0.0096521483470892
Lonchura striata,0.037556892345044425,FALSE,8,0.01009594073335078
Garrulax canorus,0.03827982714759853,FALSE,5,0.02015949023659934
Amaurornis phoenicurus,0.041121620284448504,FALSE,5,0.01621110060044387
Lanius tephronotus,0.10355353741230734,FALSE,8,0.0021914751247374
Columba livia,0.076791836337151,FALSE,8,-0.06315437260239982
Phylloscopus claudiae,0.07071937156840033,FALSE,5,0.02355552465651942
Emberiza elegans,0.052972760616462396,FALSE,8,0.01593995968689856
Gyps himalayensis,0.11164643181844683,FALSE,8,0.00343062183572458
Recurvirostra avosetta,0.062113013641470885,FALSE,8,0.06984175310458524
Culicicapa ceylonensis,0.0684807984061893,FALSE,2,0.0292043527665016
Columba rupestris,0.08785998288439456,FALSE,8,0.0182533630556238
Apus nipalensis,0.06044538057565462,FALSE,2,0.03014385778878508
Accipiter nisus,0.07219112270363963,FALSE,2,0.03253790431306104
Tringa ochropus,0.06715207754446188,FALSE,8,0.04582984690392956
Phoenicurus ochruros,0.11164935824056474,FALSE,8,0.00844419159194753
Turdus rubrocanus,0.10252720651189175,FALSE,2,-0.00646431149036053
Carpodacus erythrinus,0.07994899049417635,FALSE,5,0.0127719810075959
Psilopogon virens,0.05315849574256161,FALSE,2,0.02973540842685833
Gallinago gallinago,0.05905279313678297,FALSE,8,0.0329140939309589
