mean,sd,q025,median,q975,metric,method,grid_cell,hfi_change_q
5.343116351016293,0.3020769391237899,4.770824377056964,5.354830460032223,5.935636007255685,corrected_richness,ols,1092,Q3
5.572279118935335,0.3007522896338378,5.029669148425801,5.568928792546912,6.136086993375035,corrected_richness,ols,1093,Q3
5.8170759554272244,0.309011512011122,5.248051006340682,5.810048833031079,6.409588951022837,corrected_richness,ols,1094,Q4 (high ΔHFI)
5.703844448943859,0.30554740402891206,5.172421719053386,5.694259821725067,6.292142328422632,corrected_richness,ols,1095,Q4 (high ΔHFI)
5.48694155879341,0.30100537580618186,4.946847205863243,5.477422020716886,6.056072748905596,corrected_richness,ols,1096,Q4 (high ΔHFI)
5.623522774989246,0.3165286741897865,4.995121663495295,5.61883867242153,6.258694844020526,corrected_richness,ols,1097,Q3
5.7615137451761536,0.3315673538693966,5.153014896096725,5.751744143727892,6.38962718144044,corrected_richness,ols,1098,Q2
5.524374261395414,0.3217096584767824,4.915974321017446,5.534392581190677,6.142931837590696,corrected_richness,ols,1100,Q3
5.372549777029434,0.34272498423221726,4.721112987575891,5.372533243733056,6.0622331553538675,corrected_richness,ols,1101,Q1 (low ΔHFI)
6.482689863761889,0.3334227903362878,5.848082226648841,6.49389100730835,7.143081710027059,corrected_richness,ols,1103,Q2
7.101511119495585,0.35326956866065956,6.530605856605807,7.069908881985131,7.821169673029694,corrected_richness,ols,1126,Q1 (low ΔHFI)
7.124149004731708,0.3591491189426474,6.496189837711717,7.098359935415406,7.832618031024516,corrected_richness,ols,1127,Q1 (low ΔHFI)
7.020734338510622,0.35877095237596146,6.390604591404592,7.001049273536997,7.747497924015164,corrected_richness,ols,1128,Q1 (low ΔHFI)
7.104630298261861,0.3711725475238969,6.397118076302382,7.100588492114959,7.800033441995931,corrected_richness,ols,1129,Q2
6.628834221896152,0.3688493441063034,5.963784440452941,6.610263825994287,7.3864542092949135,corrected_richness,ols,1130,Q2
6.630630681532374,0.3822711942703053,5.965416316973512,6.619032339220917,7.492611481045058,corrected_richness,ols,1131,Q2
6.6570724180785685,0.3899147717226252,5.978498247464558,6.640532484700767,7.525427130149733,corrected_richness,ols,1133,Q2
6.45361028779753,0.39583163426193646,5.730859793803516,6.418382843189651,7.2936986706468385,corrected_richness,ols,1134,Q3
6.30343298101723,0.38012562250808857,5.585296306351353,6.2525252076412166,7.108749024672875,corrected_richness,ols,1137,Q3
6.2060312043219215,0.3708492544212877,5.514474031564443,6.168283226307864,7.0101445102934905,corrected_richness,ols,1138,Q3
6.125676513297351,0.3686257035667508,5.42208945285422,6.098093368981289,6.925662045057567,corrected_richness,ols,1139,Q4 (high ΔHFI)
6.0637126524826614,0.3699683429445209,5.371267255898007,6.023620690840268,6.807044942385422,corrected_richness,ols,1140,Q4 (high ΔHFI)
5.707921975949124,0.333982053233757,5.06902692105058,5.713602196288365,6.329388460593356,corrected_richness,ols,1142,Q1 (low ΔHFI)
6.029986353356437,0.3451894760402852,5.33217354284624,6.038744128659664,6.69612975042235,corrected_richness,ols,1143,Q1 (low ΔHFI)
6.5281925351308665,0.36165714608186805,5.799917627428294,6.51879151414175,7.265862560022227,corrected_richness,ols,1144,Q3
7.425188587953341,0.39804798098809774,6.6677122312182195,7.422968485710864,8.23272906302416,corrected_richness,ols,1145,Q1 (low ΔHFI)
4.6219473847283075,0.32418922370586434,3.970219044352281,4.622873320283294,5.29178285997546,corrected_richness,ols,1161,Q4 (high ΔHFI)
4.558409913989559,0.3355618217157524,3.94030420479286,4.53193519635159,5.201333698952261,corrected_richness,ols,1162,Q4 (high ΔHFI)
4.776711906765538,0.3428729263946528,4.104590979187769,4.7487743013419745,5.458665718193513,corrected_richness,ols,1163,Q2
4.92610578158087,0.27533043666500157,4.421653898449998,4.927877706408095,5.477532292439134,corrected_richness,ols,1164,Q1 (low ΔHFI)
5.25268384331018,0.27517797992728826,4.722551903255564,5.2573808434680664,5.787221290579375,corrected_richness,ols,1165,Q1 (low ΔHFI)
5.377587636176178,0.3016980175994642,4.775846375595044,5.3767252236300145,5.964768756758644,corrected_richness,ols,1166,Q2
5.560569873999795,0.3058070247735851,4.939735306127236,5.56077720618027,6.157290101157154,corrected_richness,ols,1167,Q3
5.733716113140971,0.30046273804761897,5.15450472775967,5.718911931568618,6.314608425626959,corrected_richness,ols,1168,Q4 (high ΔHFI)
5.9912281533263405,0.32244585231028744,5.384897507095726,5.970869449110017,6.618078896335913,corrected_richness,ols,1169,Q4 (high ΔHFI)
5.964176080624109,0.32877350834609115,5.324902633618606,5.959005266746708,6.6042120886023605,corrected_richness,ols,1170,Q3
6.109122741564478,0.3450765394053454,5.4447865556922235,6.099197861554168,6.796089380387155,corrected_richness,ols,1171,Q4 (high ΔHFI)
6.220683537179514,0.3444283536663076,5.545356308195971,6.216895318260919,6.887057551488018,corrected_richness,ols,1172,Q3
