parameter,group,rhat,ess
beta.comm[320],beta.comm,1,78.84419645375819
beta.comm[321],beta.comm,1,60
beta.comm[322],beta.comm,1,59.99999999999999
beta.comm[323],beta.comm,1,74.29027673237373
beta.comm[324],beta.comm,1,74.99698490869761
beta.comm[325],beta.comm,1,59.999999999999986
beta.comm[326],beta.comm,1,106.64974847120456
beta.comm[327],beta.comm,1,60
beta.comm[328],beta.comm,1,93.81664538433006
beta.comm[329],beta.comm,1,76.45978268106319
beta.comm[330],beta.comm,1,97.60379422358206
beta.comm[331],beta.comm,1,74.63355482972088
beta.comm[332],beta.comm,1,84.43516180393604
beta.comm[333],beta.comm,1,93.35930691434349
beta.comm[334],beta.comm,1,59.99999999999999
beta.comm[335],beta.comm,1,94.7474240771568
beta.comm[336],beta.comm,1,91.53482661618851
beta.comm[337],beta.comm,1,92.98008590829647
beta.comm[338],beta.comm,1,127.08446233109427
beta.comm[339],beta.comm,1,99.18406756279649
beta.comm[340],beta.comm,1,109.11362518745011
beta.comm[341],beta.comm,1,91.81424897595976
beta.comm[342],beta.comm,1,90.93771430217252
beta.comm[343],beta.comm,1,91.2561382168722
beta.comm[344],beta.comm,1,112.7566055415733
beta.comm[345],beta.comm,1,92.70044165136072
beta.comm[346],beta.comm,1,97.20298271970452
beta.comm[347],beta.comm,1,90.50509294760506
beta.comm[348],beta.comm,1,115.6009357196699
beta.comm[349],beta.comm,1,102.93684555272955
beta.comm[350],beta.comm,1,99.29843240066424
beta.comm[351],beta.comm,1,95.49928754430019
beta.comm[352],beta.comm,1,59.999999999999986
beta.comm[353],beta.comm,1,97.79098507196068
beta.comm[354],beta.comm,1,60
beta.comm[355],beta.comm,1,97.91032683067034
beta.comm[356],beta.comm,1,99.65863935813879
beta.comm[357],beta.comm,1,75.75259020467043
beta.comm[358],beta.comm,1,76.84510886612945
beta.comm[359],beta.comm,1,91.78247871849905
beta.comm[360],beta.comm,1,77.95555869484426
beta.comm[361],beta.comm,1,75.98145208387089
beta.comm[362],beta.comm,1,136.43974981466718
