metric,period,age_class,n_grid,mean,se
fmpd_prob,P3,unprotected,924,1.708825796546351,0.003089457940259467
fmpd_prob,P4,mid(15-30a),107,1.6899932117333492,0.007170851008555044
fmpd_prob,P4,old(>30a),214,1.7201019659103944,0.006876984720433974
fmpd_prob,P4,unprotected,924,1.6964321924101549,0.0030593701615234895
fmpd_prob,P5,mid(15-30a),107,1.6846278780949993,0.006769171812648539
fmpd_prob,P5,old(>30a),214,1.7118403075202016,0.006553497519308686
fmpd_prob,P5,unprotected,924,1.6911601541035552,0.002966281800822701
fric_prob,P1,mid(15-30a),107,8.439777431223781,0.05677727014460442
fric_prob,P1,old(>30a),214,8.512574496934128,0.04056863399956945
fric_prob,P1,unprotected,924,8.436037736431746,0.021211103504751798
fric_prob,P2,mid(15-30a),107,8.45656706795209,0.052661109219228744
fric_prob,P2,old(>30a),214,8.523840213950068,0.038479263568712334
fric_prob,P2,unprotected,924,8.429557372236394,0.019862633103751744
fric_prob,P3,mid(15-30a),107,8.495413022750009,0.04938134845366975
fric_prob,P3,old(>30a),214,8.548450802805112,0.037002200912931694
fric_prob,P3,unprotected,924,8.463908046031563,0.019011357961040025
fric_prob,P4,mid(15-30a),107,8.444413295110776,0.04444696606212462
fric_prob,P4,old(>30a),214,8.511877497637572,0.035996165661455144
fric_prob,P4,unprotected,924,8.427900837256654,0.01816423022560511
fric_prob,P5,mid(15-30a),107,8.57187046682511,0.039141104132773843
fric_prob,P5,old(>30a),214,8.61666077019644,0.030551857380221203
fric_prob,P5,unprotected,924,8.536723019969388,0.01624389904314234
inv_simpson,P1,mid(15-30a),107,107.41118080144632,2.171729862778231
inv_simpson,P1,old(>30a),214,102.10393162550402,1.9132615628861607
inv_simpson,P1,unprotected,924,107.34083517945193,1.002591203496537
inv_simpson,P2,mid(15-30a),107,111.62341827900973,2.321550419104923
inv_simpson,P2,old(>30a),214,105.85584042204826,2.006002689042512
inv_simpson,P2,unprotected,924,110.91964321559296,1.047314388647308
inv_simpson,P3,mid(15-30a),107,117.59720077751841,2.4613962436983585
inv_simpson,P3,old(>30a),214,111.08486719822399,2.085023338277081
inv_simpson,P3,unprotected,924,115.68172886105242,1.0843408689676013
inv_simpson,P4,mid(15-30a),107,121.07139673654007,2.583375433615898
inv_simpson,P4,old(>30a),214,114.5633489061802,2.153203874697958
inv_simpson,P4,unprotected,924,118.94318660191938,1.1186829249107055
inv_simpson,P5,mid(15-30a),107,129.9964862083828,2.7171238220289298
inv_simpson,P5,old(>30a),214,123.61254690426543,2.2165455235434695
inv_simpson,P5,unprotected,924,127.0813001630273,1.1551372012770038
mpd_prob,P1,mid(15-30a),107,NA,NA
mpd_prob,P1,old(>30a),214,NA,NA
mpd_prob,P1,unprotected,924,NA,NA
mpd_prob,P2,mid(15-30a),107,NA,NA
mpd_prob,P2,old(>30a),214,NA,NA
mpd_prob,P2,unprotected,924,NA,NA
mpd_prob,P3,mid(15-30a),107,NA,NA
mpd_prob,P3,old(>30a),214,NA,NA
mpd_prob,P3,unprotected,924,NA,NA
mpd_prob,P4,mid(15-30a),107,NA,NA
mpd_prob,P4,old(>30a),214,NA,NA
mpd_prob,P4,unprotected,924,NA,NA
mpd_prob,P5,mid(15-30a),107,NA,NA
mpd_prob,P5,old(>30a),214,NA,NA
mpd_prob,P5,unprotected,924,NA,NA
mpd_prob_mctavish,P1,mid(15-30a),107,123.713219022348,0.9576689264873463
mpd_prob_mctavish,P1,old(>30a),214,121.09276271677847,0.8246229299625936
mpd_prob_mctavish,P1,unprotected,924,122.37005995570377,0.40345910181617195
mpd_prob_mctavish,P2,mid(15-30a),107,124.61792052410406,0.9248038597659304
mpd_prob_mctavish,P2,old(>30a),214,121.83355622733492,0.8178292414894023
mpd_prob_mctavish,P2,unprotected,924,123.06427388038256,0.4001260335120179
mpd_prob_mctavish,P3,mid(15-30a),107,124.68906436319806,0.8986807439361587
mpd_prob_mctavish,P3,old(>30a),214,122.10335067723662,0.7914452667795304
mpd_prob_mctavish,P3,unprotected,924,123.35155395731327,0.38571154585987844
mpd_prob_mctavish,P4,mid(15-30a),107,126.63496559002122,0.8174333845034244
mpd_prob_mctavish,P4,old(>30a),214,124.04326456235883,0.7488319883010249
mpd_prob_mctavish,P4,unprotected,924,125.02302129984263,0.36618023412097744
mpd_prob_mctavish,P5,mid(15-30a),107,127.56406349785372,0.7184204889156189
mpd_prob_mctavish,P5,old(>30a),214,125.50028402441015,0.6630041575101218
mpd_prob_mctavish,P5,unprotected,924,126.31755410518151,0.3266132984802439
pd_prob,P1,mid(15-30a),107,NA,NA
pd_prob,P1,old(>30a),214,NA,NA
pd_prob,P1,unprotected,924,NA,NA
pd_prob,P2,mid(15-30a),107,NA,NA
pd_prob,P2,old(>30a),214,NA,NA
pd_prob,P2,unprotected,924,NA,NA
pd_prob,P3,mid(15-30a),107,NA,NA
pd_prob,P3,old(>30a),214,NA,NA
pd_prob,P3,unprotected,924,NA,NA
pd_prob,P4,mid(15-30a),107,NA,NA
pd_prob,P4,old(>30a),214,NA,NA
pd_prob,P4,unprotected,924,NA,NA
pd_prob,P5,mid(15-30a),107,NA,NA
pd_prob,P5,old(>30a),214,NA,NA
pd_prob,P5,unprotected,924,NA,NA
pd_prob_mctavish,P1,mid(15-30a),107,342768.0662856611,7870.657393110346
pd_prob_mctavish,P1,old(>30a),214,337927.13776391227,6730.218248682121
pd_prob_mctavish,P1,unprotected,924,366883.61803555983,3610.7790538609293
