mean,sd,q025,median,q975,metric,grid_cell
1,0,1,1,1,synchrony,1377
1,0,1,1,1,synchrony,1379
1,0,1,1,1,synchrony,1380
1,0,1,1,1,synchrony,1381
1,0,1,1,1,synchrony,1382
1,0,1,1,1,synchrony,1383
1,0,1,1,1,synchrony,1384
1,0,1,1,1,synchrony,1385
1,0,1,1,1,synchrony,1386
1,0,1,1,1,synchrony,1393
1,0,1,1,1,synchrony,1400
1,0,1,1,1,synchrony,1410
1,0,1,1,1,synchrony,1412
1,0,1,1,1,synchrony,1413
1,0,1,1,1,synchrony,1414
1,0,1,1,1,synchrony,1415
1,0,1,1,1,synchrony,1416
1,0,1,1,1,synchrony,1417
1,0,1,1,1,synchrony,1418
1,0,1,1,1,synchrony,1419
1,0,1,1,1,synchrony,1420
1,0,1,1,1,synchrony,1421
1,0,1,1,1,synchrony,1422
1,0,1,1,1,synchrony,1423
1,0,1,1,1,synchrony,1424
1,0,1,1,1,synchrony,1425
1,0,1,1,1,synchrony,1426
1,0,1,1,1,synchrony,1427
1,0,1,1,1,synchrony,1428
1,0,1,1,1,synchrony,1429
1,0,1,1,1,synchrony,1430
1,0,1,1,1,synchrony,1448
1,0,1,1,1,synchrony,1449
1,0,1,1,1,synchrony,1450
1,0,1,1,1,synchrony,1452
1,0,1,1,1,synchrony,1453
1,0,1,1,1,synchrony,1454
1,0,1,1,1,synchrony,1455
1,0,1,1,1,synchrony,1456
1,0,1,1,1,synchrony,1462
1,0,1,1,1,synchrony,1465
1,0,1,1,1,synchrony,1466
1,0,1,1,1,synchrony,1468
1,0,1,1,1,synchrony,1471
1,0,1,1,1,synchrony,1476
1,0,1,1,1,synchrony,1479
1,0,1,1,1,synchrony,1480
1,0,1,1,1,synchrony,1481
1,0,1,1,1,synchrony,1482
1,0,1,1,1,synchrony,1483
1,0,1,1,1,synchrony,1484
1,0,1,1,1,synchrony,1485
1,0,1,1,1,synchrony,1486
1,0,1,1,1,synchrony,1487
1,0,1,1,1,synchrony,1488
1,0,1,1,1,synchrony,1489
1,0,1,1,1,synchrony,1490
1,0,1,1,1,synchrony,1491
1,0,1,1,1,synchrony,1492
1,0,1,1,1,synchrony,1493
1,0,1,1,1,synchrony,1494
1,0,1,1,1,synchrony,1495
1,0,1,1,1,synchrony,1496
1,0,1,1,1,synchrony,1497
1,0,1,1,1,synchrony,1498
1,0,1,1,1,synchrony,1499
1,0,1,1,1,synchrony,1500
1,0,1,1,1,synchrony,1502
1,0,1,1,1,synchrony,1518
1,0,1,1,1,synchrony,1520
1,0,1,1,1,synchrony,1521
1,0,1,1,1,synchrony,1522
1,0,1,1,1,synchrony,1523
1,0,1,1,1,synchrony,1528
1,0,1,1,1,synchrony,1529
1,0,1,1,1,synchrony,1533
1,0,1,1,1,synchrony,1536
1,0,1,1,1,synchrony,1537
1,0,1,1,1,synchrony,1538
1,0,1,1,1,synchrony,1539
1,0,1,1,1,synchrony,1540
1,0,1,1,1,synchrony,1542
1,0,1,1,1,synchrony,1550
1,0,1,1,1,synchrony,1551
1,0,1,1,1,synchrony,1552
1,0,1,1,1,synchrony,1553
1,0,1,1,1,synchrony,1554
1,0,1,1,1,synchrony,1555
1,0,1,1,1,synchrony,1556
1,0,1,1,1,synchrony,1557
1,0,1,1,1,synchrony,1558
1,0,1,1,1,synchrony,1559
1,0,1,1,1,synchrony,1560
1,0,1,1,1,synchrony,1561
1,0,1,1,1,synchrony,1562
1,0,1,1,1,synchrony,1563
1,0,1,1,1,synchrony,1564
1,0,1,1,1,synchrony,1565
1,0,1,1,1,synchrony,1566
1,0,1,1,1,synchrony,1567
1,0,1,1,1,synchrony,1568
1,0,1,1,1,synchrony,1569
1,0,1,1,1,synchrony,1570
1,0,1,1,1,synchrony,1571
1,0,1,1,1,synchrony,1586
1,0,1,1,1,synchrony,1587
1,0,1,1,1,synchrony,1588
1,0,1,1,1,synchrony,1589
1,0,1,1,1,synchrony,1590
1,0,1,1,1,synchrony,1591
1,0,1,1,1,synchrony,1592
1,0,1,1,1,synchrony,1593
1,0,1,1,1,synchrony,1594
1,0,1,1,1,synchrony,1602
1,0,1,1,1,synchrony,1608
1,0,1,1,1,synchrony,1609
1,0,1,1,1,synchrony,1610
1,0,1,1,1,synchrony,1612
1,0,1,1,1,synchrony,1613
1,0,1,1,1,synchrony,1614
1,0,1,1,1,synchrony,1616
1,0,1,1,1,synchrony,1617
1,0,1,1,1,synchrony,1618
1,0,1,1,1,synchrony,1619
1,0,1,1,1,synchrony,1620
1,0,1,1,1,synchrony,1621
1,0,1,1,1,synchrony,1622
1,0,1,1,1,synchrony,1623
1,0,1,1,1,synchrony,1624
1,0,1,1,1,synchrony,1625
1,0,1,1,1,synchrony,1626
1,0,1,1,1,synchrony,1627
1,0,1,1,1,synchrony,1629
1,0,1,1,1,synchrony,1630
1,0,1,1,1,synchrony,1631
1,0,1,1,1,synchrony,1632
1,0,1,1,1,synchrony,1633
1,0,1,1,1,synchrony,1634
1,0,1,1,1,synchrony,1635
1,0,1,1,1,synchrony,1636
1,0,1,1,1,synchrony,1637
1,0,1,1,1,synchrony,1639
1,0,1,1,1,synchrony,1640
1,0,1,1,1,synchrony,1641
1,0,1,1,1,synchrony,1642
1,0,1,1,1,synchrony,1658
1,0,1,1,1,synchrony,1659
1,0,1,1,1,synchrony,1660
1,0,1,1,1,synchrony,1661
1,0,1,1,1,synchrony,1662
1,0,1,1,1,synchrony,1666
1,0,1,1,1,synchrony,1669
1,0,1,1,1,synchrony,1672
1,0,1,1,1,synchrony,1674
1,0,1,1,1,synchrony,1675
1,0,1,1,1,synchrony,1676
1,0,1,1,1,synchrony,1678
1,0,1,1,1,synchrony,1679
1,0,1,1,1,synchrony,1680
1,0,1,1,1,synchrony,1681
1,0,1,1,1,synchrony,1684
1,0,1,1,1,synchrony,1685
1,0,1,1,1,synchrony,1686
1,0,1,1,1,synchrony,1687
1,0,1,1,1,synchrony,1688
1,0,1,1,1,synchrony,1689
1,0,1,1,1,synchrony,1692
1,0,1,1,1,synchrony,1693
1,0,1,1,1,synchrony,1694
1,0,1,1,1,synchrony,1695
1,0,1,1,1,synchrony,1696
1,0,1,1,1,synchrony,1697
1,0,1,1,1,synchrony,1698
1,0,1,1,1,synchrony,1699
1,0,1,1,1,synchrony,1700
1,0,1,1,1,synchrony,1701
1,0,1,1,1,synchrony,1702
1,0,1,1,1,synchrony,1703
1,0,1,1,1,synchrony,1704
1,0,1,1,1,synchrony,1705
1,0,1,1,1,synchrony,1706
1,0,1,1,1,synchrony,1707
1,0,1,1,1,synchrony,1708
1,0,1,1,1,synchrony,1710
1,0,1,1,1,synchrony,1711
1,0,1,1,1,synchrony,1712
1,0,1,1,1,synchrony,1731
1,0,1,1,1,synchrony,1732
1,0,1,1,1,synchrony,1733
1,0,1,1,1,synchrony,1734
1,0,1,1,1,synchrony,1738
1,0,1,1,1,synchrony,1739
1,0,1,1,1,synchrony,1743
1,0,1,1,1,synchrony,1748
1,0,1,1,1,synchrony,1749
1,0,1,1,1,synchrony,1753
1,0,1,1,1,synchrony,1755
1,0,1,1,1,synchrony,1756
1,0,1,1,1,synchrony,1757
1,0,1,1,1,synchrony,1758
1,0,1,1,1,synchrony,1759
1,0,1,1,1,synchrony,1760
1,0,1,1,1,synchrony,1761
1,0,1,1,1,synchrony,1762
1,0,1,1,1,synchrony,1764
1,0,1,1,1,synchrony,1765
1,0,1,1,1,synchrony,1766
1,0,1,1,1,synchrony,1767
1,0,1,1,1,synchrony,1769
1,0,1,1,1,synchrony,1770
1,0,1,1,1,synchrony,1772
1,0,1,1,1,synchrony,1773
1,0,1,1,1,synchrony,1774
1,0,1,1,1,synchrony,1775
1,0,1,1,1,synchrony,1776
1,0,1,1,1,synchrony,1777
1,0,1,1,1,synchrony,1778
1,0,1,1,1,synchrony,1779
1,0,1,1,1,synchrony,1782
1,0,1,1,1,synchrony,1783
1,0,1,1,1,synchrony,1803
1,0,1,1,1,synchrony,1804
1,0,1,1,1,synchrony,1805
1,0,1,1,1,synchrony,1806
1,0,1,1,1,synchrony,1807
1,0,1,1,1,synchrony,1809
1,0,1,1,1,synchrony,1815
1,0,1,1,1,synchrony,1816
1,0,1,1,1,synchrony,1819
1,0,1,1,1,synchrony,1820
1,0,1,1,1,synchrony,1821
1,0,1,1,1,synchrony,1823
1,0,1,1,1,synchrony,1824
1,0,1,1,1,synchrony,1825
1,0,1,1,1,synchrony,1826
1,0,1,1,1,synchrony,1828
1,0,1,1,1,synchrony,1829
1,0,1,1,1,synchrony,1830
1,0,1,1,1,synchrony,1831
1,0,1,1,1,synchrony,1832
1,0,1,1,1,synchrony,1833
1,0,1,1,1,synchrony,1834
1,0,1,1,1,synchrony,1835
1,0,1,1,1,synchrony,1836
1,0,1,1,1,synchrony,1837
1,0,1,1,1,synchrony,1838
1,0,1,1,1,synchrony,1839
1,0,1,1,1,synchrony,1840
1,0,1,1,1,synchrony,1841
1,0,1,1,1,synchrony,1842
1,0,1,1,1,synchrony,1843
1,0,1,1,1,synchrony,1844
1,0,1,1,1,synchrony,1845
1,0,1,1,1,synchrony,1846
1,0,1,1,1,synchrony,1847
1,0,1,1,1,synchrony,1848
1,0,1,1,1,synchrony,1849
